Jurisdiction,Type of Law,Citation,URL
Brazil,Statute,"Lei No. 6.634, de 2 de Maio de 1979",https://perma.cc/8K2B-DCNB
Brazil,Statute,"Lei No. 13.445, de 24 de Maio de 2017",https://perma.cc/AV68-PVYQ
Brazil,Decree,Decreto No. 6.759 de 5 de Fevereiro de 2009,https:// perma.cc/X5N6-LFPV
Brazil,Ordinance,"Portaria RFB No. 143, de 11 de Fevereiro de 2022",https://perma.cc/DB9N-4SX4
Canada,Statute,"Canadian Border Services Agency Act, S.C. 2005, c. 38",https:/ / perma.cc/7VCD-6FQN
Canada,Statute,"Immigration and Refugee Protection Act, S.C. 2001, c. 27",https:// perma.cc/84UM-TGPT
Canada,Regulation,"Immigration and Refugee Protection Regulations,SOR/2002-227",https:// perma.cc/LTP5-8DD5
Chile,Treaty,Acuerdo Complementario entre el Gobierno de laRepublica de Chile y el Gobierno de la Republica Argentina del Acuerdo Sobre Coordinación de Aperturay Cierre de Pasos Fronterizos (1997),https://perma.cc/UCL9-CXBX
Chile,Treaty,"Convenio sobre Controles Integrados de Frontera entrela Republica de Chile y la Republica de Bolivia, suscrito el 17 de febrero de 2004 y publicado en el Diario Oficialdel 06 de diciembre de 2006",https:// perma.cc/SvC2-S9LV
Chile,Treaty,"Memorändum de Entendimiento sobre el ControlIntegrado de Frontera'Sistema Cristo Redentor"" (2003)",https:// perma.cc/2TFL-798Z
Chile,Statute,"Decreto No. 900 Fija Texto Refundido, Coordinado y Sistematizado del DFL MOP No.164 de 1991, Ley deConcesiones de Obras Publicas",https:// perma.cc/F2QL-8WVV
,Resolution,"Resoluci6n Exenta No. 404, del 15 de enero de 2018, del Subsecretario del Interior, que crea la Unidad de PasosFronterizos",https://perma.cc/UGY6-UN4G
China,Statute,"Law on the Administration of Exit and Entry (adoptedby the National People's Congress Standing Committee(NPCSC) on June 30,2012, effective July 1, 2013)","https://perma.cc/XU29-HJKF (inChinese), htps:/ / perma.cc/GBK5-3ZU6 (English translation)"
China,Statute,"PRC Land Border Law (adopted by NPCSC on Oct. 23,2021,effective Jan.1,2022)",https://perma.cc/4CKK-4QAF
China,Regulation,"Regulations on Exit and Entry Frontier Inspection(promulgated by the State Council on July 6,1995,effective Sept. 1, 1995)","https:// perma.cc/EA27-NLK5 (inChinese),https:/ / perma.cc/W5NQ-8XYJ(English translation)"
China,AdministrativeDirective,"Notice of National Development and ReformCommission on Issuing the Administrative Measures on Special Projects of Inspection Infrastructure Construction at State Ports Open to Foreign Countries (Dec.14, 2021)","https://perma.cc/G5MK-THXW(in Chinese), full text of the measures, https:/ /perma.cc/ZJ7X-EAC9 (in Chinese)"
China,AdministrativeDirective,"Opinions of the State Council on Improving Port Management and Supporting Foreign TradeDevelopment, Guo Fa [2015] No. 16 (Apr. 17, 2015)",https:/ /perma.cc/KCW9-A5Y5
China,AdministrativeDirective,"Provisions of the State Council on the Opening of Ports(Sept. 18, 1985)","https://perma.cc/69B6-XR2J (inChinese), https:/ /perma.cc/VKL6-B72R (English translation)"
Finland,Statute,Act on Border Control,"https://perma.cc/LH9L-UULR (inFinnish), https://perma.cc/SS8L-CTHK (in Swedish)"
,,Act on the Management of the Finnish Border Guard,"https://perma.cc/2DFF-5NY8 (inFinnish), htps:/ /perma.cc/A84K-FWCJ (in Swedish)"
,,Act on the Management of Personal Data by the FinnishBorder Guard,"https://perma.cc/94X8-CK3Y (inFinnish), https://perma.cc/3FV5-NRQ7 (in Swedish)"
,Regulation,Regulation on Border Crossing Points and the Divisionof the Related Border Control Tasks,"https://perma.cc/Z474-HBA9 (inFinnish), https://perma.cc/8S6U-FN8Z (in Swedish)"
Greece,Statute,"Law 2647/1998, E.K.E.D. 1998, A:237, as amended",https://perma.cc/TG7J-VJ9S
Greece,Statute,"Law 4674/2020, E.K.E.D. 1998, A:53",https://perma.cc/9VEU-4G34
Ireland,Treaty,"Agreement on the Withdrawal of the United Kingdom ofGreat Britain and Northern Ireland from the European Union and the European Atomic Energy Community(Oct. 19, 2019)",https://perma.cc/B9JT-SPTR
Ireland,Treaty,Protocol on Ireland/Northern Ireland,https://perma.cc/769L-MTM9
Ireland,International Agreement,"Joint Statement on the Common Travel Area, U.K.-Ir.",https:/ /perma.cc/CB47-AP74
Israel,Statute,"Airports Authority Law (Temporary Order), 5740-1980,SH 5740 No.967 p. 104, as amended",https://perma.cc/CJU9-YNHR
Israel,Statute,"Airports Authority Law, 5737-1977, SH 5733 No. 859 p.182, as amended",https:// perma.cc/KKZ6-PE6G
Israel,Statute,"Entry into Israel Law, 5712-1952, SH 5712 No.111 p. 354, as amended",https://perma.cc/3YTM-9F8T
Israel,Regulation,"Entry into Israel (Border Stations) Order, 5747-1987,KT5747 No. 5049 p.1219, as amended",https://perma.cc/7YTR-W3HU
Mexico,Regulation,"Manual de Organizacion General del Instituto deAdministracion y Avaluos de Bienes Nacionales 2022,DOF, Aug. 3, 2022",https:// perma.cc/R9BT-7XKU
Russia,Statute,"Federal Law on the State Border of Apr.1, 1993",https://perma.cc/BYE2-6H8V
Russia,Regulation,"Government Regulation No. 482/2008 on Rules forEstablishing, Opening, Functioning, Remodeling, andClosing Border Crossing Points",https:/ /perma.cc/5JZ4-ASBT
Russia,Regulation,"Government Regulation No. 930/2007 on GeneralRequirements for Construction, Remodeling, andEquipment for Buildings and Other Space Necessary toConduct Customs and Other Control at the State Borderof the Russian Federation",https://perma.cc/TSE4-QGWG
Turkey,Statute,"Bazi Yatirim ve Hizmetlerin Yap-Islet-Devret ModeliCercevesinde Yaptirilmasi Hakkinda Kanun, Law No.3996, O.G. No. 21959, June 8, 1994",https://perma.cc/RU2K-FWPE
Turkey,Statute,"Pasaport Kanunu, Law No. 5682, Official Gazette (O.G.)No. 7564, July 15,1950",https://perma.cc/CC2Q-LSMH
UnitedKingdom,Treaty,"Agreement between the Government of the UnitedKingdom of Great Britain and Northern Ireland and theGovernment of the French Republic concerning the carrying of Service Weapons by French Officers on theterritory of the United Kingdom of Great Britain andNorthern Ireland (Le Touquet, Feb.3, 2003)",https://perma.cc/T3LD-82XT
,,"Agreement between the Government of the UnitedKingdom of Great Britain and Northern Ireland and theGovernment of the French Republic on Cooperation inMatters relating to Maritime and Port Security, andSpecifically, in Relation to Passenger Vessels in theChannel, (Paris July 26,2021), CP 914, TS No. 24 (2023)",https://perma.cc/6K7Y-GZMF
,,"Agreement between the Government of the UnitedKingdom of Great Britain and Northern Ireland and theGovernment of the Kingdom of Belgium, concerningImmigration Controls on Rail Traffic between Belgiumand the United Kingdom using the Channel Fixed Link(London, Dec. 3, 2013) TS No.32 (2016)",https:/ / perma.cc/7WWZ-YTW2
,,"Agreement on the Withdrawal of the United Kingdom ofGreat Britain and Northern Ireland from the EuropeanUnion and the European Atomic Energy Community(Oct. 19, 2019)",https://perma.cc/B9JT-SPTR
,,"Protocol Between the Government of the UnitedKingdom of Great Britain and Northern Ireland and theGovernment of the French Republic Concerning FrontierControls and Policing, Co-operation in Criminal Justice,Public Safety and Mutual Assistance Relating to theChannel Fixed Link (Sangatte, Nov. 25, 1991), TS No. 70(1993)",https://perma.cc/TCL3-RP3E
,,Protocol on Ireland/Northern Ireland,https:/ /perma.cc/769L-MTM9
,,"Special Arrangement between the Government of theFrench Republic, the Government of the Kingdom ofBelgium, the Government of the Kingdom of theNetherlands and the Government of the UnitedKingdom of Great Britain and Northern Ireland concerning Security Matters relating to Trains using theChannel Fixed Link (Brussels, July 7,2020)",https://perma.cc/3RUM-NF29
,,"Treaty between the Government of the United Kingdomof Great Britain and Northern Ireland and theGovernment of the French Republic Concerning theReinforcement of Cooperation for the CoordinatedManagement of their Shared Border, TS No.1 (London,Jan. 18, 2018)",https:/ /perma.cc/5XMT-P4TW
