Jurisdiction,Number of LPOEs,Designation Authority,Management Authority,Enforcement Authority,Funding Source,Considerations for Modernization,Partnerships
Brazil,32,Brazilian Internal Revenue Service,Brazilian Internal Revenue Service,Federal Police,Public,Technical feasibility,Public-Private
Canada,107,Ministry of Public Safety,Canada Border Security Agency,Canada Border Security Agency,Federal Budget,Modernization; improving travelers' border crossing experience; Canada's trade & economic competitiveness,Public
Chile,13,Border Crossing Program Commission for the Administration of Border Complexes (Ministry of the Interior),Department of Borders,Border Crossing Unit,Public,Not specified by law,Not specified by law
China,No official statistics available on the number of LPOEs out of China's,State,General Administration of Customs,National Immigration Administration (Ministry of Public Security); General,Government (central and local),State development plans; pandemic control,Public
,"""315""openports""",,,,,,
Finland,11,Ministry of theInterior,Finnish BorderGuard,Finnish BorderGuard,Public,Not specified bylaw,Public
Greece,14,President,Ministry ofInterior,Ministry ofCitizenProtection,Public,Modernization; supporting the supply chain; creating local jobs; promoting cross-border co-operation,Public
Israel,21,Ministry ofTransportation;Ministry ofDefense,AirportAuthority(AA) forLPOEs withEgypt and Jordan; LandCrossingAuthority(LCA) forLPOEs with the PalestinianAuthority (PA),"""AA; LCA, as relevant""",For AALPOEs: Feescollected at the crossing terminalsand otherAA andadditionalrevenues;LCALPOEs:Ministry ofDefense,AA's activities mustbe based oneconomiccalculations and as a self-sustainingenterprise,For AALPOEsPublic-Private
Mexico,59,Institute ofNationalAssetsAdministration(INDAABIN),Public,Technicalfeasibility;socioeconomicbenefits,Public,Technicalfeasibility; socioeconomicbenefits,Public
Russia,221,FederalGovernment,Ministry ofTransportation,Directorate forConstruction and Operation,Federalbudget,Ensuring properfunctioning of theLPOE,Non-appropriated
,,,,,,,of BorderFacilities
Turkey,25,President,Ministry of Internal Affairs,Department ofCounter-MigrantTraffickingand BorderGates; Ministryof Commerce,Public-privatepartnerships,Modernization; supporting thesupply chain;creating local jobs;ensuring entrysecurity,Public-Private
UnitedKingdom,NoLPOEs; 8 juxtaposedbordercontrols,Home Office,Juxtaposedborder controlsestablished byTreaty,Border Force,Public,Not specified bylaw,Not specified bylaw
