Jurisdiction,Type of Law,Citation,URL
Brazil,Statute,"Lei No. 6.634, de 2 de Maio de 1979",https://perma.cc/8K2B-DCNB
Brazil,Statute,"Lei No. 13.445, de 24 de Maio de 2017",https://perma.cc/AV68-PVYQ
Brazil,Decree,Decreto No. 6.759 de 5 de Fevereiro de 2009,https://perma.cc/X5N6-LFPV
Brazil,Ordinance,"Portaria RFB No. 143, de 11 de Fevereiro de 2022",https://perma.cc/DB9N-4SX4
Canada,Statute,"Canadian Border Services Agency Act, S.C. 2005, c. 38",https://perma.cc/7VCD-6FQN
Canada,Statute,"Immigration and Refugee Protection Act, S.C. 2001, c. 27",https://perma.cc/84UM-TGPT
Canada,Regulation,"Immigration and Refugee Protection Regulations, SOR/2002-227",https://perma.cc/LTP5-8DD5
Chile,Treaty,Acuerdo Complementario entre el Gobierno de la República de Chile y el Gobierno de la República Argentina del Acuerdo Sobre Coordinación de Apertura y Cierre de Pasos Fronterizos (1997),https://perma.cc/UCL9-CXBX
Chile,Treaty,"Convenio sobre Controles Integrados de Frontera entre la República de Chile y la República de Bolivia, suscrito el 17 de febrero de 2004 y publicado en el Diario Oficial del 06 de diciembre de 2006",https://perma.cc/SVC2-S9LV
Chile,Treaty,Memorándum de Entendimiento sobre el Control Integrado de Frontera 'Sistema Cristo Redentor' (2003),https://perma.cc/2TFL-798Z
Chile,Statute,"Decreto No. 900 Fija Texto Refundido, Coordinado y Sistematizado del DFL MOP No. 164 de 1991, Ley de Concesiones de Obras Publicas",https://perma.cc/F2QL-8WVV
