Jurisdiction,Number of LPOEs,Designation Authority,Management Authority,Enforcement Authority,FundingSource,Considerations forModernization,Partnerships
Brazil,32,Brazilian InternalRevenueService,BrazilianInternalRevenueService,Federal Police,Public,Technical feasibility,Public-Private
Canada,107,Ministry ofPublic Safety,Canada BorderSecurityAgency,Canada BorderSecurityAgency,FederalBudget,Modernization;improvingtravelers' bordercrossing experience;Canada's trade &economiccompetitiveness,Public
Chile,13,BorderCrossingProgramCommissionfor theAdministrationof BorderComplexes(Ministry ofthe Interior),Department ofBorders,BorderCrossing Unit,Public,Not specified bylaw,Notspecified bylaw
China,No official statistics availableon the number ofLPOEs out of China's,State,GeneralAdministration of Customs,National Immigration Administration(Ministry ofPublicSecurity);General,Government(central andlocal),State development plans; pandemiccontrol,Public
,"315""openports""",,,Administrationof Customs,,,
Finland,11,Ministry of theInterior,Finnish BorderGuard,Finnish BorderGuard,Public,Not specified bylaw,Public
Greece,14,President,Ministry ofInterior,Ministry ofCitizenProtection,Public,Modernization; supporting the supply chain; creating local jobs; promoting cross-border co-operation,Public
Israel,21,Ministry ofTransportation;Ministry ofDefense,AirportAuthority(AA) forLPOEs withEgypt and Jordan; LandCrossingAuthority(LCA) forLPOEs with the PalestinianAuthority (PA),"AA; LCA, as relevant",For AALPOEs: Feescollected at the crossing terminalsand otherAA andadditionalrevenues;LCALPOEs:Ministry ofDefense,AA's activities mustbe based oneconomiccalculations and as a self-sustainingenterprise,For AALPOEsPublic-Private
Mexico,59,Institute ofNationalAssetsAdministration(INDAABIN),Public,Technicalfeasibility;socioeconomicbenefits,Public,Technicalfeasibility; socioeconomicbenefits,Public
Russia,221,FederalGovernment,Ministry ofTransportation,Directorate forConstruction and Operation,Federalbudget,Ensuring properfunctioning of theLPOE,Non-appropriated
,,,,of BorderFacilities,,,funds maybe used
Turkey,25,President,Ministry of Internal Affairs,Department ofCounter-MigrantTraffickingand BorderGates; Ministryof Commerce,Public-privatepartnerships,Modernization; supporting thesupply chain;creating local jobs;ensuring entrysecurity,Public-Private
UnitedKingdom,NoLPOEs; 8 juxtaposedbordercontrols,Home Office,Juxtaposedborder controlsestablished byTreaty,Border Force,Public,Not specified bylaw,Not specified bylaw
