,Net interest income,Net interest income,recorded in net recorded income,recorded in net recorded income
,,Long- Loans term debt,Derivative gains (losses),Derivative gains (losses)
"(in millions) Year ended December 31,2021",,,,
Totalamounts presented in the consolidated statement of income and other comprehensive income,"$ 28,634","(3,173)",N/A,212
Interest rate contracts:,,,,
Realized gains (losses) (pre-tax) reclassified from OCl into net income,(137),1,(137),137
Net unrealized gains (losses) (pre-tax) recognized in OCl,N/A,N/A,N/A,7
Total gains (losses) (pre-tax) on interest rate contracts,(137),1,(137),144
Foreign exchange contracts:,,,,
Realized gains (losses) (pre-tax) reclassified from OCl into net income,1,(6),(6),6
Net unrealized gains (losses) (pre-tax) recognized in OCl,N/A,N/A,N/A,(19)
Total gains (losses) (pre-tax) on foreign exchange contracts,二,6,6,(13)
Total gains (losses) (pre-tax) recognized on cash flow hedges,$(137),(6),(143),131
"Year ended December 31,2020",,,,
Total amounts presented in the consolidated statement of income and other comprehensive income,"$34,230","(4,471)",N/A,198
Interest rate contracts:,,,,
Realized gains (losses) (pre-tax)reclassfied from OCl into net income,(215),4,(211),211
Net unrealized gains (losses) (pre-tax) recognized in OCl,N/A,N/A,N/A,二
Total gains (losses)(pre-tax) on interest rate contracts,(215),4,(211),211
Foreign exchange contracts:,,,,
Realized gains (losses) (pre-tax) reclassified from OCl into net income,1,(8),(8）,8
Net unrealized gains (losses)(pre-tax) recognized in OCl,N/A,N/A,N/A,10
Total gains (losses)(pre-tax) on foreign exchange contracts,二,(8）,（8）,18
Total gains (losses) (pre-tax) recognized on cash flow hedges,(215),（4),(219),229
"Year ended December 31,2019",,,,
Total amounts presented in the consolidated statement of income and other comprehensive income,"$44,218","(7,350)",N/A,275
Interest rate contracts: Realized gains (losses) (pre-tax)reclassified from OCl into net income,(291),1,,
Net unrealized gains (losses) (pre-tax) recognized in OCl,,,(290),290
,N/A,N/A,N/A,二
Total gains (losses) (pre-tax) on interest rate contracts,(291),1,(290),290
Foreign exchange contracts:,,,,
Realized gains (losses)(pre-tax) reclassified from OClinto net income,1,（9),（9),9
Net unrealized gains (losses) (pre-tax) recognized in OCl,N/A,N/A,N/A,(21)
Total gains (losses) (pre-tax)on foreign exchange contracts,二,（9),（9）,(12)
Total gains (losses) (pre-tax) recognized on cash flow hedges,(291),(8),(299),278
