,Noninterest income,Noninterest income,Noninterest income,Noninterest income,Noninterest income,Noninterest expense
,Net gains on,Net gains on,Net gains on,Net gains on,Net gains on,
,Mortgage banking,trading and,securities,Other,Total,Personnel expense
"Year ended December 31,2021",,,,,,
Net gains (losses) recognized on economic hedges derivatives:,,,,,,
Interest contracts (1),,(51),一,(11),(62),
Equity contracts,,1,495,(1),494,(611)
Foreign exchange contracts,,1 一,1,335 (12),335,1
Credit contracts Subtotal,,,一 495,311,(12) 755,一 (611)
Net gains (losses) recognized on customer accommodation trading,,(51),,,,
andotherderivatives:,,,,,,
Interest contracts,,62,"1,217",1,"1,279",
Commodity contracts,,1,133,1,133,
Equity contracts,,一,"(4,549)",(444),"(4,993)",
Foreign exchange contracts,,1,827,1,827,
Credit contracts Subtotal,,1 62,"(93) (2,465)",1 (444),"(93) (2,847)",
Net gains (losses) recognized related to derivatives not designated as,,,,,,
hedging instruments,,11,"(1,970)",(133),"(2,092)",(611)
"Year ended December 31,2020 Net gains (losses) recognized on economic hedges derivatives:",,,,,,
Interest contracts (1),,"2,787",,(93),"2,694",
Equity contracts,,,"(1,167)",(25),"(1,192)",（778)
Foreign exchange contracts,,1,1,（455),（455),1
Credit contracts,,1,1,14,14,一
Subtotal,,"2,787","(1,167)",（559),"1,061",(778)
Net gains (losses) recognized on customer accommodation trading and,,,,,,
otherderivatives: Interest contracts,,"1,964","(1,021)",,943,
Commodity contracts,,一,446,一,446,
Equity contracts,,1,(436),(334),(770),
Foreign exchange contracts,,,89,,89,
Credit contracts,,一,(1),一,(1),
Subtotal,,"1,964",(923),(334),707,
Netgains (losses)recognized relatedto derivatives not designatedas hedging instruments,,"4,751","(2,090)",(893),"1,768",(778)
"Year ended December 31,2019",,,,,,
Net gains (losses) recognized on economic hedges derivatives:,,,,,,
Interest contracts (1),,"2,177",,1,"2,178",
Equity contracts,,1,"(2,120)",(2),"(2,122)",
Foreign exchange contracts,,1,1,（77）,（77),
Credit contracts,,,一,(5),(5),
Subtotal Net gains(losses) recognized on customer accommodation trading and,,"2,177","(2,120）",(83),(26),
otherderivatives:,,,,,,
Interest contracts,,418,(95),1,323,
Commodity contracts,,一,164,一,164,
Equity contracts,,,"(4,863)",(484),"(5,347)",
Foreign exchange contracts,,1,47,1,47,
Credit contracts,,,(120),,(120),
Subtotal,,418,"（4,867)",(484),"(4,933)",
Net gains (losses) recognized related to derivatives not designated as hedging instruments,,"2,595","(6,987)",(567),"(4,959)",
