"Year ended December 31,2021","Year ended December 31,2020"
Commercial TDRs,"Balance, beginning of period"
Inflows (1),746
Outflows,
Charge-offs,(141)
Foreclosure,(5)
"Payments, sales and other (2)","(1,983)"
"Balance, end of period","1,348"
Consumer TDRs,"Balance, beginning of period"
Inflows (1),"1,665"
Outflows,
Charge-offs,(185)
Foreclosure,(56)
"Payments, sales and other (2)","(4,363)"
Net change in trial modifications (3),(19)
"Balance, end of period","8,834"
Total TDRs,"10,182"
