(in millions),,"Dec31, 2021","Dec31, 2020"
Assets:,,,
Resale and securities borrowing agreements,,,
Gross amounts recognized,$,"103,140","92,446"
Gross amounts offset in consolidated balance sheet (1),,"(14,074)","(11,513)"
Net amounts in consolidated balance sheet (2),,"89,066","80,933"
Collateral notrecognizedinconsolidated balance sheet (3),,"(88,330)","(80,158)"
Net amount (4),$,736,775
Liabilities:,,,
Repurchase and securities lending agreements,,,
Gross amounts recognized,$,"35,043","57,622"
Gross amounts offset in consolidated balance sheet (1),,"(14,074)","(11,513)"
Net amounts in consolidated balance sheet (5),,"20,969","46,109"
Collateral pledged but not netted in consolidated balance sheet (6),,"(20,820)","(45,819)"
Net amount (4),$,149,290
