,"December31,2021","December31,2021","December31,2021","December31,2021","December31,2021","December 31,2020","December 31,2020","December 31,2020"
,Level1,Level2,Level3,Total,Level1,Level2,Level3,Total
(in millions) Trading debt securities:,,,,,,,,
Securities of U.S.Treasury and federal agencies,"27,607","2,249",一 211,"29,856","32,060","3,197",一,"35,257"
Collateralized loan obligations,,655,,866,,534,148,682
Corporate debt securities,,"9,987",18,"10,005",,"10,696",13,"10,709"
Federalagency mortgage-backed securities,,"40,350",1,"40,350",,"23,549",1,"23,549"
Non-agency mortgage-backed securities,,"1,531",11,"1,542",一,"1,039",12,"1,051"
Other debt securities,,"5,645",,"5,646",一,"3,847",一,"3,847"
Total trading debt securities,"27,607","60,417",241,"88,265","32,060","42,862",173,"75,095"
Available-for-sale debt securities:,,,,,,,,
Securities of U.S.Treasury and federal agencies,"39,661",,,"39,661","22,159",一,1,"22,159"
Non-U.S.government securities,,71,1,71,一,"16,813",1,"16,813"
Securities of U.S.states and political subdivisions,,"16,832",85,"16,917",,"19,182",224,"19,406"
Federalagency mortgage-backed securities,1,"105,886",1,"105,886",,"139,070",1,"139,070"
Non-agency mortgage-backed securities,1,"4,522",10,"4,532",一,"3,697",32,"3,729"
Collateralized loan obligations,1,"5,708",1,"5,708",1,"9,018",1,"9,018"
Other debt securities,1,"4,378",91,"4,469",38,"7,421","2,738","10,197"
Totalavailable-for-sale debt securities,"39,661","137,397",186,"177,244","22,197","195,201","2,994","220,392"
Loans held for sale,1,"14,862","1,033","15,895",1,"17,572","1,234","18,806"
Mortgage servicing rights (residential),,1,"6,920","6,920",,,"6,125","6,125"
Derivative assets (gross):,,,,,,,,
Interest rate contracts,52,"22,296",190,"22,538",11,"35,590",462,"36,063"
Commodity contracts,,"5,902",63,"5,965",1,"1,997",39,"2,036"
Equity contracts,"6,402","9,350","2,019","17,771","4,888","12,384","1,613","18,885"
Foreign exchange contracts,8,"6,573",7,"6,588",19,"8,573",11,"8,603"
Credit contracts,二,32,14,46,一,45,50,95
Totalderivative assets (gross),"6,462","44,153","2,293","52,908","4,918","58,589","2,175","65,682"
Equity securities:,,,,,,,,
Marketable,"29,968",82,,"30,054","23,995",596,5,"24,596"
Nonmarketable (1),,57,"8,906","8,963",10,21,"9,228","9,259"
Totalequity securities,"29,968",139,"8,910","39,017","24,005",617,"9,233","33,855"
Total assets prior to derivative netting,"103,698","256,968","19,583","380,249","83,180","314,841","21,934",
Derivative netting (2),,,,"(31,430)",,,,"419,955 (39,836)"
Totalassetsafterderivative netting,,,,"348,819",,,,"380,119"
Derivative liabilities (gross):,,,,,,,,
Interest rate contracts,,"(17,712)",,"(17,803)",$ (27),"(26,259)",(16),"(26,302)"
Commodity contracts,,"(2,351)",,"(2,417)",,"(1,503)",(40),"(1,543)"
Equity contracts,"(5,820)","(10,753)","(2,448)","(19,021)","(4,860)","(15,219)","(1,927)","(22,006)"
Foreign exchange contracts,,"(6,654)",,"(6,672)",(10),"(8,134)",(12),"(8,156)"
Credit contracts,,,,(43),,(49),（9）,(58)
Totalderivative liabilities (gross),"(5,856)",,,"(3) (45,956)","（4,897)","(51,164)","(2,004)","(58,065)"
,,,"(37,510)","(2,590)",,,,
Short-sale trading liabilities,"(15,436)",,"(5,249) (42,759)","1 (20,685) (2,590)","(15,292)","(7,149)",,"(22,441)"
Totalliabilitiespriortoderivativenetting Derivative netting (2),"(21,292)",,,"(66,641) 36,532","$ (20,189)","(58,313)","(2,004)","(80,506) 41,556"
