"(in millions,except ratios)","Quarter ended December31,2021"
Tier l capital,"159,671"
Total average assets,"1,943,670"
Less: Goodwill and other permitted Tier1 capital deductions (net of deferred tax liabilities),"28,085"
Total adjusted average assets,"1,915,585"
Plus adjustments for off-balance sheet exposures:,
Derivatives (1),"71,926"
Repo-style transactions (2),"3,080"
Other (3),"325,488"
Total off-balance sheet exposures,"400,494"
Total leverage exposure,"$ 2,316,079"
Supplementary leverage ratio,(A)/(B)
Tier l leverage ratio (4),6.89% 8.34%
