,Term loans by origination year,Term loans by origination year,Term loans by origination year,Term loans by origination year,Term loans by origination year,Term loans by origination year,Term loans by origination year,Revolving loans,
(in millions),2021,2020,2019,2018,2017,Prior,Revolving loans,converted to term loans,Total
"December 31,2021",,,,,,,,,
Commercial and industrial,,,,,,,,,
Pass,"$65,562","15,193","20,553","7,400","3,797","13,985","211,452",679,"338,621"
Criticized,"1,657",884,"1,237","1,256",685,551,"5,528",17,"11,815"
Total commercial and industrial,"67,219","16,077","21,790","8,656","4,482","14,536","216,980",696,"350,436"
Real estate mortgage,,,,,,,,,
Pass,"38,196","15,929","19,013","12,618","7,451","16,026","5,411",3,"114,647"
Criticized,"3,462","1,119","2,975","1,834",875,"2,421",400,1,"13,086"
Totalreal estate mortgage,"41,658","17,048","21,988","14,452","8,326","18,447","5,811",3,"127,733"
Real estate construction,,,,,,,,,
Pass,"5,895","4,058","4,549","2,167",379,329,"1,042",2,"18,421"
Criticized,510,266,586,234,68,7,二,1,"1,671"
Total real estate construction,"6,405","4,324","5,135","2,401",447,336,"1,042",2,"20,092"
Lease financing,,,,,,,,,
Pass,"4,100","3,012","2,547","1,373",838,"1,805",1,1,"13,675"
Criticized,284,246,282,184,86,102,二,1,"1,184"
Total lease financing,"4,384","3,258","2,829","1,557",924,"1,907",二,二,"14,859"
Total commercial loans,"$119,666","40,707","51,742","27,066","14,179","35,226","223,833",701,"513,120"
,,,,,,,,Revolving,
,2020,2019,,,Term loans by origination year,,Revolving,loans converted to,
"December 31,2020",,,2018,2017,2016,Prior,loans,term loans,Total
Commercial and industrial,,,,,,,,,
Pass,"$56,915","34,040","15,936","7,274","4,048","4,738","177,107",997,"301,055"
Criticized,"1,404","1,327","1,357",972,672,333,"11,534",151,"17,750"
Totalcommercial and industrial,"58,319","35,367","17,293","8,246","4,720","5,071","188,641","1,148","318,805"
Real estate mortgage,,,,,,,,,
Pass,"22,444","26,114","18,679","11,113","11,582","14,663","5,152",6,"109,753"
Criticized,"2,133","2,544","1,817","1,287","1,625","2,082",479,1,"11,967"
Total real estate mortgage,"24,577","28,658","20,496","12,400","13,207","16,745","5,631",6,"121,720"
Real estate construction,,,,,,,,,
Pass,"5,242","6,574","4,771","1,736",477,235,"1,212",3,"20,250"
Criticized,449,452,527,4,113,10,一,一,"1,555"
Total real estate construction,"5,691","7,026","5,298","1,740",590,245,"1,212",3,"21,805"
Lease financing,,,,,,,,,
Pass,"3,970","3,851","2,176","1,464","1,199","1,924",,,"14,584"
Criticized,308,433,372,197,108,85,,,"1,503"
Total lease financing,"4,278","4,284","2,548","1,661","1,307","2,009",二,1,"16,087"
Total commercial loans,"$92,865","75,335","45,635","24,047","19,824","24,070","195,484","1,157","478,417"
