,"Year ended December 31,","Year ended December 31,","Year ended December 31,"
(in millions),2021,2020,2019
"Fair value,beginning of period","6,125","11,517","14,649"
Servicing from securitizations or asset transfers (1),"1,645","1,708","1,933"
Sales and other (2),(8),(32),(286)
Net additions,"1,637","1,676","1,647"
Changes in fair value:,,,
Due to valuation inputs or assumptions:,,,
Mortgage interest rates (3),"1,625","(3,946)","(2,406)"
Servicing and foreclosure costs (4),（9),(175),48
Discount rates,(56),27,145
Prepayment estimates and other (5),(390),(599),(356)
Net changes in valuation inputs or assumptions,"1,170","(4,693)","(2,569)"
Changes due to collection/realization of expected cash flows (6),"(2,012)","(2,375)","(2,210)"
Total changes in fair value,(842),"(7,068)","(4,779)"
"Fair value,end of period","6,920","6,125","11,517"
