Year ended December 31,2021,Year ended December 31,2020,Year ended December 31,2019
Interest income (1):,Interest income (1):,Interest income (1):,Interest income (1):,,
Available-for-sale,Available-for-sale,Available-for-sale,Available-for-sale,,
"$2,808","4,992","8,092",,,
Held-to-maturity,Held-to-maturity,Held-to-maturity,Held-to-maturity,,
"4,359","3,712","3,733",,,
Total interest income,Total interest income,Total interest income,Total interest income,,
"7,167","8,704","11,825",,,
Provision for credit losses (2):,Provision for credit losses (2):,Provision for credit losses (2):,Provision for credit losses (2):,,
Available-for-sale,Available-for-sale,Available-for-sale,Available-for-sale,,
(2),89,—,,,
Held-to-maturity,Held-to-maturity,Held-to-maturity,Held-to-maturity,,
54,35,—,,,
Total provision for credit losses,Total provision for credit losses,Total provision for credit losses,Total provision for credit losses,,
52,124,—,,,
Realized gains and losses (3):,Realized gains and losses (3):,Realized gains and losses (3):,Realized gains and losses (3):,,
Gross realized gains,Gross realized gains,Gross realized gains,Gross realized gains,,
571,931,227,,,
Gross realized losses,Gross realized losses,Gross realized losses,Gross realized losses,,
(10),(43),(24),,,
Impairment write-downs,Impairment write-downs,Impairment write-downs,Impairment write-downs,,
(8),(15),(63),,,
Net realized gains,Net realized gains,Net realized gains,Net realized gains,,
$553,873,140,,,
