,Banking and,Consumer Lending,Wholesale Banking,Commercial Banking,Corporate and Investment Banking,Wealth and Investment Management,Corporate,Consolidated Company
(in millions),Banking and,Consumer Lending,Wholesale Banking,Commercial Banking,Corporate and Investment Banking,Wealth and Investment Management,Corporate,Consolidated Company
"December 31,2019",$,"16,685","8,429",,,"1,276",,"26,390"
Foreign currency translation,,1,一,2,,一,,2
Transfers of goodwill,,(267),"(8,429)","3,016","5,375",一,305,1
"December 31,2020",$,"16,418",一,"3,018","5,375","1,276",305,"26,392"
Foreign currency translation,,1,,1,1,1,1,1
Transfers of goodwill,,一,,(80),1,(932),"1,012",1
Divestitures,,一,,一,一,1,"(1,212)","(1,212)"
"December31,2021",$,"16,418",,"2,938","5,375",344,105,"25,180"
