Dec 31,2021,Dec 31,2020
Corporate/bank-owned life insurance,"$ 20,619",20380,
Accounts receivable (1),20831,38116,
Interest receivable:,,,","
AFS and HTM debt securities,1360,1368,
Loans,1950,2838,
Trading and other,305,415,
Operating lease assets (lessor),6182,7391,
Operating lease ROU assets (lessee),3805,4306,
Customer relationship and other amortized intangibles,211,328,
Foreclosed assets,112,159,
Due from customers on acceptances,155,268,
Other (2),11729,11768,
Total other assets,67259,87337,
