($ in millions),"Dec 31, 2021","Dec 31, 2020"
Total:,5358,7041
Less: FHA insured/VA guaranteed (1),4699,6351
"Total, not government insured/guaranteed",659,690
"By segment and class, not government insured/guaranteed:",,
Commercial:,Commercial and industrial,"206,39"
Real estate mortgage,29,38
Real estate construction,,1
Total commercial,235,78
Consumer:,Residential mortgage – first lien,"37,135"
Residential mortgage – junior lien,12,19
Credit card,269,365
Auto,88,65
Other consumer,18,28
Total consumer,424,612
"Total, not government insured/guaranteed",659,690
