(in millions),2020,,,,Term loans by origination year,Term loans by origination year,Revolving,loans converted to term,
"December 31,2020",,2019,2018,2017,2016,Prior,loans,loans,Total
ByFICO:,,,,,,,,,
Residential mortgage-first lien,,,,,,,,,
800+,"29,365","28,652","9,911","17,416","22,215","40,440","3,391",493,"151,883"
760-799,"17,154","9,866","2,908","4,380","4,955","10,843","1,361",274,"51,741"
720-759,"5,274","3,290","1,189","1,829","2,106","7,001",879,265,"21,833"
680-719,"1,361","1,084",490,678,831,"4,403",520,221,"9,588"
640-679,376,287,148,192,226,"2,385",241,154,"4,009"
600-639,55,56,44,56,92,"1,429",127,106,"1,965"
<600,14,29,36,44,66,"1,789",162,175,"2,315"
No FICO available,136,135,87,125,161,"1,831",253,372,"3,100"
Government insured/guaranteed loans (1),215,639,904,"1,076","2,367","25,039",一,一,"30,240"
Totalresidentialmortgage-firstlien,"53,950","44,038","15,717","25,796","33,019","95,160","6,934","2,060","276,674"
Residential mortgage-junior lien,,,,,,,,,
800+,,,,,,293,"7,973","1,819","10,085"
760-799,,,,,,177,3.005,"1,032","4,214"
720-759,,,,,,207,"2,093","1,034","3,334"
680-719,,,,,,183,"1,233",854,"2,270"
640-679,,,,,,103,503,493,"1,099"
600-639,,,,,,67,241,299,607
<600,,,,一,一,76,254,374,704
No FICO available,22,39,41,39,32,83,441,276,973
Total residential mortgage-junior lien,22,39,41,39,32,"1,189","15,743","6,181","23,286"
Credit card,,,,,,,,,
800+,,,,,,,"3,860",1,"3,861"
760-799,,,,,,,"5,438",7,"5,445"
720-759,,,,,,,"7,897",29,"7,926"
680-719,,,,,,,"8,854",60,"8,914"
640-679,,,,,,,"5,657",64,"5,721"
600-639,,,,,,,"2,242",46,"2,288"
<600,,,,,,,"2,416",82,"2,498"
No FICO available,,,,,,,10,1,11
Total credit card,,,,,,,"36,374",290,"36,664"
Auto,,,,,,,,,
800+,"2,875","2,606","1,211",731,452,104,,,"7,979"
760-799,"3,036","2,662","1,122",579,349,81,,,"7,829"
720-759,"3,162","2,514","1,095",576,395,98,,,"7,840"
680-719,"3,534","2,542","1,066",545,400,105,,,"8,192"
640-679,"3,381","1,948",763,395,334,94,,,"6,915"
600-639 <600,"2,208 1,581","1,165 1,357",479 730,274 463,276 533,87 186,,,
