(in millions),Common Equity Tier 1 at December 31, 2020,$,138,297
Net income applicable to common stock,,$,20,256,
Common stock dividends,,$,-2,426,
Common stock issued, repurchased, and stock compensation-related items,,$,"-12,197"
Changes in cumulative other comprehensive income,,$,-1,896,
Goodwill,,$,1,212,
Certain identifiable intangible assets (other than MSRs),,$,117,,
Goodwill and other intangibles on nonmarketable equity securities (included in other assets),,$,-472,,
Applicable deferred taxes related to goodwill and other intangible assets (1),,$,-91,,
CECL transition provision (2),,$,-1,479,
Other,,$,-678,,
Change in Common Equity Tier 1,,$,2,346,
Common Equity Tier 1 at December 31, 2021,$,140,643,
