($ in millions),Fair Value,Valuation,Significant,Range of Inputs,Weighted
Level 3,Technique (1),Unobservable Input (1),Positive (Negative),Average,
"December 31, 2021",Loans held for sale (2),$,"1,407",Discounted cash flow,"Default rate (3),0.2,-,78.3 %,25.6"
,Mortgage servicing rights (commercial),567,Discounted cash flow,Cost to service per loan,"$,150,-,3,381,2,771"
,Nonmarketable equity securities,745,Market comparable pricing,Comparability adjustment,"(100.0),-,(33.0),(59.0)"
,15,Market comparable pricing,Multiples,2.0x,"-,3.3x,2.8x"
,5,Discounted cash flow,Discount rate,10.5,"-,10.5 %,10.5"
,Other assets,175,Discounted cash flow,Discount rate,"0.2,-,4.4,2.9"
,Total,$,"2,914",,
"December 31, 2020",Loans held for sale (2),$,"1,628",Discounted cash flow,"Default rate (3),0.3,-,85.5 %,31.5"
,Mortgage servicing rights (commercial),"1,317",Market comparable pricing,Comparability adjustment,"(11.6),-,(1.8),(3.1)"
,510,Discounted cash flow,Cost to service per loan,$,"150,-,3,377,2,779"
,Nonmarketable equity securities (5),844,Market comparable pricing,Multiples,"0.1x,-,10.9x,5.0x"
,188,Market comparable pricing,Comparability adjustment,(100.0),"-,(20.0),(61.4)"
,76,Other,Company risk factor,(100.0),"-,(20.0),(57.7)"
,91,Discounted cash flow,Discount rate,10.0,"-,20.0,11.5"
,Company risk factor,(62.6),-,0.0,(30.3)
,Crude oil prices ($/barrel),$,42,-,"48,47"
,Natural gas prices ($/MMBtu),2,-,2,2
Insignificant Level 3 assets,19,,,,
Total,$,"4,673",,,
