"December 31,",2021,2020
(in millions),Commercial:,"Commercial and industrial,350,436,318,805"
,Real estate mortgage,"127,733,121,720"
,Real estate construction,"20,092,21,805"
,Lease financing,"14,859,16,087"
,Total commercial,"513,120,478,417"
,Consumer:,"Residential mortgage – first lien,242,270,276,674"
,Residential mortgage – junior lien,"16,618,23,286"
,Credit card,"38,453,36,664"
,Auto,"56,659,48,187"
,Other consumer,"28,274,24,409"
,Total consumer,"382,274,409,220"
,Total loans,"$ 895,394,$ 887,637"
