,"Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,"
,,,$Change 2021/,% Change 2021/,,$Change 2020/,% Change 2020/
($ in millions),2021,2020,2020,2020,2019,2019,2019
Income Statement,,,,,,,
Net interest income,"$ 4,960","6,134","(1,174)",(19)%,"$ 7,981","(1,847)",(23)%
Noninterest income:,,,,,,,
Deposit-related fees,"1,285","1,219",66,5,"1,175",44,4
Lending-related fees,532,531,1,1,524,7,1
Lease income,682,646,36,6,931,(285),(31)
Other,"1,090",645,445,69,"1,091",(446),(41)
Total noninterest income,"3,589","3,041",548,18,"3,721",(680）,(18)
Total revenue,"8,549","9,175",(626),（7),"11,702","(2,527)",(22)
Net charge-offs,101,590,(489),(83),215,375,174
Change in the allowance for credit losses,"(1,601)","3,154","(4,755)",NM,(25),"3,179",NM
Provision for credit losses,"(1,500)","3,744","(5,244)",NM,190,"3,554",NM
Noninterest expense,"5,862","6,323",(461),(7),"6,598",(275),(4)
Income (loss) before income tax expense (benefit),"4,187",(892),"5,079",569,"4,914","(5,806)",NM
Income tax expense (benefit),"1,045",(208),"1,253",602,"1,246","(1,454)",NM
Less: Net income from noncontrolling interests,8,5,3,60,6,(1),(17)
Net income (loss),"$3,134",(689),"3,823",555,"$ 3,662","(4,351)",NM
Revenue by Line of Business,,,,,,,
Middle Market Banking,"$4,642","5,067",(425),(8),"$ 6,691","(1,624)",(24)
Asset-Based Lending and Leasing,"3,907","4,108",(201),(5),"5,011",(903),(18)
Total revenue,"$8,549","9,175",(626),(7),"11,702",(2.527),(22)
Revenue by Product,,,,,,,
Lending and leasing,"$4,835","5,432",(597),(11),"$ 5,983",(551),（9)
Treasury management and payments,"2,825","3,205",(380),(12),"4,872","(1,667)",(34)
Other,889,538,351,65,847,(309),(36)
Total revenue,"$ 8,549","9,175",(626),(7),"$ 11,702","(2,527)",(22)
Selected Metrics,,,,,,,
Return on allocated capital,15.1 %,(4.5),,,16.8%,,
Efficiency ratio,69,69,,,56,,
Headcount (#) (period-end),"18,397","20,241",,（9),"21,798",,(7)
