"December 31,",2021,2020
(in millions),Nonaccrual loans:,"Nonaccrual loans:,Nonaccrual loans:"
,Commercial:,"Commercial:,Commercial:"
,Commercial and industrial,"$ 980,2,698,Commercial and industrial"
,Real estate mortgage,"1,235,1,774,Real estate mortgage"
,Real estate construction,"13,48,Real estate construction"
,Lease financing,"148,259,Lease financing"
,Total commercial,"2,376,4,779,Total commercial"
,Consumer:,"Consumer:,Consumer:"
,Residential mortgage – first lien (1),"3,803,2,957,Residential mortgage – first lien (1)"
,Residential mortgage – junior lien (1),"801,754,Residential mortgage – junior lien (1)"
,Auto,"198,202,Auto"
,Other consumer,"34,36,Other consumer"
,Total consumer,"4,836,3,949,Total consumer"
,Total nonaccrual loans,"$ 7,212,8,728,Total nonaccrual loans"
,As a percentage of total loans,"0.81 %,0.98,As a percentage of total loans"
,Foreclosed assets:,"Foreclosed assets:,Foreclosed assets:"
,Government insured/guaranteed (2),"$ 16,18,Government insured/guaranteed (2)"
,Non-government insured/guaranteed,"96,141,Non-government insured/guaranteed"
,Total foreclosed assets,"112,159,Total foreclosed assets"
,Total nonperforming assets,"$ 7,324,8,887,Total nonperforming assets"
,As a percentage of total loans,"0.82 %,1.00,As a percentage of total loans"
