"Year ended December 31,2021","Year ended December 31,2020"
Commercial nonaccrual loans,
"Balance, beginning of period","4,779"
Inflows,"2,113"
Outflows:,
Returned to accruing,"(1,003)"
Foreclosures,(13)
Charge-offs,(533)
"Payments, sales and other","(2,967)"
Total outflows,"(4,516)"
"Balance, end of period","2,376"
Consumer nonaccrual loans,
"Balance, beginning of period","3,949"
Inflows,"3,281"
Outflows:,
Returned to accruing,(828)
Foreclosures,(69)
Charge-offs (1),(252)
"Payments, sales and other","(1,245)"
Total outflows,"(2,394)"
"Balance, end of period","4,836"
Total nonaccrual loans,"7,212"
