,Term loans by origination year,Term loans by origination year,Term loans by origination year,Term loans by origination year,Term loans by origination year,Term loans by origination year,Term loans by origination year,Term loans by origination year,Revolving loans
,,,,,,,,,converted toterm
(in millions),2021,2020,2019,2018,2017,Prior,Revolving loans,loans,Total
"December 31,2021",,,,,,,,,
Residential mortgage-firstlien,,,,,,,,,
By LTV: 0-60%,"$ 26,618","22,882","16,063","5,310","11,030","57,880","4,348","1,644","145,775"
,"42,893","18,188","8,356",,,,,,
60.01-80% 80.01-100%,486,437,,"2,234","2,647","5,017",674,188,"80,197"
,,31,474,147,134,339,157,42,"2,216"
100.01-120% (1),10,,24,11,7,48,33,8,172
> 120% (1),5,10,10,4,3,35,14,3,84
No LTV available,122,92,67,40,38,211,87,11,668
Government insured/guaranteed loans (2),14,134,209,349,364,"12,088",1,1,"13,158"
Total residential mortgage-first lien,"70,148","41,774","25,203","8,095","14,223","75,618","5,313","1,896","242,270"
Residential mortgage-junior lien,,,,,,,,,
By CLTV: 0-60%,,,,,,475,"7,949",,
60.01-80%,,,,,,172,"2,329","3,588 823","12,012"
80.01-100%,,,,,,,554,,"3,324"
100.01-120% (1),1,,,,一,55,,241,850
,,,,,1,13,104,42,159
>120% (1) No CLTV available,1 28,1 20,1,1,1,3,35,13,51
,28,,31,27,22,44,21,29,222
Total residential mortgage-junior lien Total,"$70,176","20 41,794","31 25,234",27,22,762,"10,992","4,736","16,618"
,,,,"8,122","14,245","76,380","16,305","6,632","258,888"
,,,,,,,,Revolving loans,
,2020,2019,2018,2017,Term loans by origination year 2016,Prior,Revolving loans,converted to term loans,Total
"December31,2020",,,,,,,,,
Residential mortgage-first lien By LTV:,,,,,,,,,
0-60%,"$16,582","15,449","6,065","13,190","21,097","59,291","4,971","1,587","138,232"
60.01-80%,"34,639","24,736","7,724","10,745",8.970,"9,333","1,323",326,"97,796"
80.01-100%,"2,332","2,975",900,654,441,"1,003",425,100,"8,830"
100.01-120% (1),41,106,45,40,41,168,117,26,584
>120% (1),31,,16,,,78,44,,
No LTV available,,41,,19,16,,,8,253
,110,92,63,72,87,248,54,13,739
Government insured/guaranteed loans (2),215,639,904,"1,076","2,367","25,039",1,一,"30,240"
Total residential mortgage-first lien,"53,950","44,038","15,717","25,796","33,019","95,160","6,934","2,060","276,674"
Residential mortgage-junior lien,,,,,,,,,
By CLTV: 0-60%,,,,,,548,"8,626","3,742","12,916"
60.01-80%,,,,,,335,"5,081","1,554","6,970"
80.01-100%,,,,,,187,"1,507",641,"2,335"
100.01-120% (1),,,,,,59,376,156,591
>120% (1),,,,,,,,,
