(in millions),2022,2023,2024,2025,2026,Thereafter,Total
Wells Fargo&Company (Parent Only),,,,,,,
Senior notes,"13,050","8,045","11,871","14,554","19,173","50,251","116,944"
Subordinated notes,1,"3,653",740,"1,077",2.932,"19,568","27,970"
Junior subordinated notes,1,一,一,1,1,"1,372","1,372"
Total long-term debt-Parent,"13,050","11,698","12,611","15,631","22,105","71,191","146,286"
"Wells Fargo Bank, N.A.,and other bank entities (Bank)",,,,,,,
Senior notes,28,3,3,190,86,139,449
Subordinated notes,1,"1,045",1,163,1,"4,179","5,387"
Junior subordinated notes,1,1,1,1,1,388,388
Securitizations and other bank debt,"2,506","1,290",955,253,125,"1,505","6.,634"
Total long-term debt- Bank,"2,534","2,338",958,606,211,"6,211","12,858"
Other consolidated subsidiaries,,,,,,,
Senior notes,187,500,105,423,224,106,"1,545"
Total long-term debt- Other consolidated subsidiaries,187,500,105,423,224,106,"1,545"
Total long-term debt,"$ 15,771","14,536","13,674","16,660","22,540","77,508","160,689"
