,Real estate mortgage,Real estate mortgage,Real estate construction,Real estate construction,Total,Total,%of,
($ in millions),Nonaccrual,Total loans portfolio,Nonaccrual,Total portfolio,Nonaccrual loans,Total portfolio,total loans,
By state:,,,,,,,,
California,,"31,007",,"3,661",189,"34,668",4%,
New York,,"13,283",,"2,353",,"134 15,636",2,
Texas,,"9,456",,"1,149",,"10,605",1,
Florida,,"9,086",,"1,349",,"10,435",1,
Washington,,,"4,121",,,"99 84 5,301",,
Arizona,,,"4,712",1,,"45 5,046",,
North Carolina,,,,,,"4,755",,
Georgia,,,"4,124 4,324",,,"5 13 4,662",,
Illinois,,,"3,563",,,"4,042",★,
New Jersey,,"2,809",,479 816,15 47,"3,625",*,
Other (1),,,"41,248","7,802",,"49,050",5,
Total,$,"521 1,235","127,733",13,"20,092","529 1,248 147,825",17%,
By property:,,,,,,,,
Office buildings,$,133,"33,657",1,"3,079",134,"36,736",4%
Apartments,,13,"24,663",,"7,238",13,"31,901",4
Industrial/warehouse,,78,"16,086",一,"1,628",78,"17,714",2
Hotel/motel,,254,"11,261",,"1,503",254,"12,764",1
Retail (excluding shopping center),,132,"12,352",3,98,135,"12,450",1
Shopping center,,422,"9,554",一,894,422,"10,448",1
Institutional,,50,"5,344",1,"2,399",51,"7,743",
Mixed use properties,,80,"5,321",1,982,81,"6,303",
Collateral pool,,1,"3,308",1,201,1,"3,509",
1-4 family structure,,1,8,一,"1,049",1,"1,057",
Other,,73,"6,179",7,"1,021",80,"7,200",★
Total,$,"1,235","127,733",13,"20,092","1,248","147,825",17%
