Shares issued and outstanding\tCarrying value\tAdjustable dividend rate\tDec 31, 2021\tDec 31, 2020\tMinimum\tMaximum
"in millions, except shares\t""in millions"," except shares""\t\tShares issued and outstanding\tCarrying value\tAdjustable dividend rate\tDec 31","2021\tDec 31,2020\tMinimum\tMaximum"
"ESOP Preferred Stock\t""ESOP Preferred Stock""\t""ESOP Preferred Stock""\t""ESOP Preferred Stock""\t""ESOP Preferred Stock""\t""ESOP Preferred Stock""\t""ESOP Preferred Stock""\t""ESOP Preferred Stock""\t""ESOP Preferred Stock""\t""ESOP Preferred Stock""",,
"$1,000 liquidation preference per share\t""$1","000 liquidation preference per share""\t""$1","000 liquidation preference per share""\t""$1,000 liquidation preference per share""\t""$1,000 liquidation preference per share""\t""$1,000 liquidation preference per share""\t""$1,000 liquidation preference per share""\t""$1,000 liquidation preference per share""\t""$1,000 liquidation preference per share""\t""$1,000 liquidation preference per share"""
"2018\t""2018""\t""2018""\t189225\t221945\t189\t222\t7.00 %\t8.00 %",,
"2017\t""2017""\t""2017""\t135135\t163210\t135\t163\t7.00\t8.00",,
"2016\t""2016""\t""2016""\t128380\t162450\t128\t162\t9.30\t10.30",,
"2015\t""2015""\t""2015""\t68106\t92904\t68\t93\t8.90\t9.90",,
"2014\t""2014""\t""2014""\t62420\t99151\t63\t99\t8.70\t9.70",,
"2013\t""2013""\t""2013""\t26168\t61948\t26\t62\t8.50\t9.50",,
"2012\t""2012""\t""2012""\t\t\t21\t\t10.00\t11.00",,
"Total ESOP Preferred Stock (1)\t""Total ESOP Preferred Stock (1)""\t""Total ESOP Preferred Stock (1)""\t609434\t822242\t609\t822\t\t",,
"Unearned ESOP shares (2)\t""Unearned ESOP shares (2)""\t""Unearned ESOP shares (2)""\t\t\t$646\t875\t",,
