Year ended December 31,,2021,2020,2019
Performance ratios,Return on average assets (ROA) (1),1.11%,0.17,1.03
Performance ratios,Return on average equity (ROE) (2),12.0,1.1,10.4
Performance ratios,Return on average tangible common equity (ROTCE) (3),14.3,1.3,12.4
Performance ratios,Efficiency ratio (4),69,78,67
Capital and other metrics (5),At year end:,8.64,8.43,8.64
Capital and other metrics (5),Wells Fargo common stockholders' equity to assets,9.76,9.51,9.75
Capital and other metrics (5),Total equity to assets,15.84,16.47,15.75
Risk-based capital ratios and components (6):,Standardized Approach:,11.35,11.59,11.14
Risk-based capital ratios and components (6):,Common Equity Tier 1 (CET1),12.89,13.25,12.76
Risk-based capital ratios and components (6):,Tier 1 capital,15.84,16.47,15.75
Risk-based capital ratios and components (6):,Risk-weighted assets (RWAs) (in billions),$1,239.0,"$1,193.7,$1,245.9"
Risk-based capital ratios and components (6):,Advanced Approach:,12.60%,11.94,11.91
Risk-based capital ratios and components (6):,Common Equity Tier 1 (CET1),14.31,13.66,13.64
Risk-based capital ratios and components (6):,Tier 1 capital,16.72,16.14,16.16
Risk-based capital ratios and components (6):,Risk-weighted assets (RWAs) (in billions),$1,116.1,"$1,158.4,$1,165.1"
Risk-based capital ratios and components (6):,Tier 1 leverage ratio,8.34%,8.32,8.31
Risk-based capital ratios and components (6):,Supplementary Leverage Ratio (SLR),6.89,8.05,7.07
Risk-based capital ratios and components (6):,Total Loss Absorbing Capacity (TLAC) Ratio (7),23.03,25.74,23.28
Risk-based capital ratios and components (6):,Liquidity Coverage Ratio (LCR) (8),118,133,120
Average balances:,Average Wells Fargo common stockholders' equity to average assets,8.73,8.43,9.15
Average balances:,Average total equity to average assets,9.85,9.51,10.31
Per common share data,Dividend payout ratio (9),12.1,283.7,46.9
Per common share data,Book value (10),$43.32,$39.71,$40.24
