Other comprehensive income, net of tax\t\t4,544\t\t4,544
Preferred stock\tCommon stock\tWells Fargo stockholders' equity,,,
Shares\tShares\tAdditional paid-in capital\tRetained earnings\tCumulative other comprehensive income (loss)\tTreasury stock\tUnearned ESOP shares\tNoncontrolling interests\tTotal equity,,,
$ and shares in millions\tAmount\tAmount\t\t\t\t\t\t,,,
Balance December 31,2018\t9.4\t$ 23,214\t4,"581.3\t$ 9,136\t60,685\t158,163\t(6,336)\t(47,194)\t(1,502)\t900\t197,066"
Cumulative effect from change in accounting policies (1)(2)\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,,,
Noncontrolling interests\t\t(553)\t\t(553),,,
Common stock issued\t\t48.7\t\t9\t\t(382)\t\t2,530\t\t2,157,
Common stock repurchased\t\t(502.4)\t\t(24,533)\t\t(24,533),
Preferred stock issued\t\t—\t\t—\t\t—\t\t—\t\t—,,,
Preferred stock redeemed (3)\t\t(1.6)\t\t(1,330)\t\t—\t\t(220)\t\t(1,550),
Preferred stock released by ESOP\t\t(24)\t\t—\t\t—\t\t359\t\t335,,,
Preferred stock converted to common shares\t\t(0.3)\t\t(335)\t\t6.8\t\t(16)\t\t351,,,
Common stock dividends\t\t86\t\t(8,529)\t\t—\t\t—\t\t(8,443),
Preferred stock dividends\t\t—\t\t—\t\t—\t\t(1,392)\t\t(1,392),
Stock-based compensation\t\t1,234\t\t—\t\t—\t\t—\t\t1,234,
Net change in deferred compensation and related plans\t\t(925)\t\t15\t\t—\t\t—\t\t(910),,,
Net change (2)\t\t(1.0)\t\t(3,655)\t\t(446.9)\t\t364\t\t0.103\t\t4,544\t\t(2)\t\t(627)\t\t250\t\t(62)\t\t(8,995)
Stock-based compensation,"1,234","1,234",
Net change in deferred compensation and related plans,(925),"15,(910)",
Net change,(1.9),"(1,665),(446.9),364,9,192,4,544,(21,637),359,(62),(8,905)",
"Balance December 31, 2019 (2)",7.5,"$ 21,549,4,134.4,$ 9,136,61,049,166,415,(1,311),(68,831),(1,143),838,187,702",
Cumulative effect from change in accounting policies (4),990,,
"Balance January 1, 2020 (2)",7.5,"21,549,4,134.4,9,136,61,049,167,405,(1,311),(68,831),(1,143),838,188,692",
Net income (2),"3,377",,
"Other comprehensive income, net of tax","1,505",,
Noncontrolling interests,(91),,
Common stock issued,75.6,"207,(1,449),3,961",
Common stock repurchased,(75.7),"(3,415)",
Preferred stock issued,0.1,"3,183,(67)",
Preferred stock redeemed (5),(1.9),"(3,347),46,(301)",
Common stock repurchased\t75.7\t3,415\t3,415,
Preferred stock issued\t0.1\t3,183\t67\t3,116,
Preferred stock redeemed\t5\t3,347\t46\t301\t3,602,
Preferred stock released by ESOP\t19\t268\t249,,,
Preferred stock converted to common shares\t0.2\t249\t9.7\t243\t492,,,
Common stock dividends\t44\t5,059\t5,015,
Preferred stock dividends\t1,290,,
Stock-based compensation\t643\t643,,,
Net change in deferred compensation and related plans\t1,463\t2\t1,461,
Net change (2)\t2.0\t413\t9.6\t852\t4,722\t1,"505\t1,040\t268\t194\t2,980",
Balance December 31,2020 (2)\t5.5\t$ 21,"136\t4,144.0\t$ 9,136\t60,197\t162,683\t194\t(67,791)\t(875)\t1,032\t185,712",
