(in millions),"Dec 31, 2021","Dec31, 2020"
Corporate/bank-owned life insurance,"$ 20,619","20,380"
Accounts receivable (1),"20,831","38,116"
Interest receivable:,,
AFS and HTM debt securities,"1,360","1,368"
Loans,"1,950","2,838"
Trading and other,305,415
Operating lease assets (lessor),"6,182","7,391"
Operating lease ROU assets (lessee),"3,805","4,306"
Customer relationship and other amortized intangibles,211,328
Foreclosed assets,112,159
Due from customers on acceptances,155,268
Other (2),"11,729","11,768"
Total other assets,"$ 67,259","87,337"
