Quarter ended,"December 31, 2021",
"(in millions, except ratios)",Tier 1 capital,"$ 159,671"
,Total average assets,"1,943,670"
,Less: Goodwill and other permitted Tier 1 capital deductions (net of deferred tax liabilities),"28,085"
,Total adjusted average assets,"1,915,585"
,Plus adjustments for off-balance sheet exposures:,"Derivatives (1),71,926"
,Repo-style transactions (2),"3,080"
,Other (3),"325,488"
,Total off-balance sheet exposures,"400,494"
,Total leverage exposure,"(B),$ 2,316,079"
,Supplementary leverage ratio,"(A)/(B),6.89%"
,Tier 1 leverage ratio (4),8.34%
