(in millions),"Amortized cost, net (1)",Gross unrealized gains,Gross unrealized losses,Fair value
"December 31,2021",,,,
Available-for-sale debt securities:,,,,
Securities of U.S.Treasury and federal agencies,"39,668",,(192),"39,661"
Non-U.S.government securities,,,,71
Securities of U.S.states and political subdivisions (2),"16,618",,(51),"16,917"
Federal agency mortgage-backed securities,"104,661","1,807",(582),"105,886"
Non-agency mortgage-backed securities (3),"4,515",,(15),"4,532"
Collateralized loan obligations,"5,713",,(7),"5,708"
Other debt securities,"4,217",259,(7),"4,469"
Totalavailable-for-sale debtsecurities,"175,463","2,635",(854),"177,244"
Held-to-maturity debt securities:,,,,
Securities of U.S.Treasury and federalagencies,"16,544",,(318),"16,825"
Securities of U.S.states and political subdivisions,"32,689",,(61),"33,475"
Federal agency mortgage-backed securities,"188,909",,"(2,807)","187,984"
Non-agency mortgage-backed securities (3),"1,082",,(18),"1,095"
Collateralized loan obligations,"31,067",,,"31,259"
Other debt securities,"1,731",194,(2) 二,"1,748"
Total held-to-maturity debt securities,"272,022","3,570","(3,206)","272,386"
Total,"$ 447,485","6,205","(4,060)","449,630"
"December 31,2020",,,,
Available-for-sale debt securities:,$,,,"22,159"
Securities of U.S.Treasury and federal agencies,,"21,954 16,816",,
Non-U.S.government securities,,,,"16,813"
Securities of U.S.states and political subdivisions (2),"19,263",,(81),"19,406"
Federalagency mortgage-backed securities,"134,838","4,260",(28),"139,070"
Non-agency mortgage-backed securities (3),"3,745",,(46),"3,729"
Collateralized loan obligations,"9,058",,(44),"9,018"
Other debt securities,"9,859",399,(61),"10,197"
Total available-for-sale debt securities,"215,533","5,122",(263),"220,392"
Held-to-maturity debt securities:,,,,
Securities of U.S.Treasury and federal agencies,"47,295","1,472",(170),"48,597"
Securities of U.S.states and political subdivisions,"25,860",938,(5),"26,793"
Federal agency mortgage-backed securities,"115,437","4,182",(21),"119,598"
Non-agency mortgage-backed securities (3),890,51,(8),933
Collateralized loan obligations,"16,238",148,1,"16,386"
Total held-to-maturity debt securities,"205,720","6,791",(204),"212,307"
Total,"421,253","11,913",(467),"432,699"
