Balance sheet caption,Measurement model(s),Financial statement Note reference
Cash and due from banks,Amortized cost,Note 28: Regulatory Capital Requirements and Other Restrictions
Interest-earning deposits with banks,Amortized cost,Note 28: Regulatory Capital Requirements and Other Restrictions
Federal funds sold and securities purchased under resale agreements,Amortized cost,N/A
Debt securities:,Trading,"FV-NI (1), Note 2: Trading Activities, Note 17: Fair Values of Assets and Liabilities"
Debt securities:,Available-for-sale,"FV-OCI (2), Note 3: Available-for-Sale and Held-to-Maturity Debt Securities, Note 17: Fair Values of Assets and Liabilities"
Debt securities:,Held-to-maturity,"Amortized cost, Note 3: Available-for-Sale and Held-to-Maturity Debt Securities,"
Loans held for sale,FV-NI (1),"LOCOM (3), Note 2: Trading Activities, Note 17: Fair Values of Assets and Liabilities"
Loans,Amortized cost,"Note 4: Loans and Related Allowance for Credit Losses,"
Derivative assets and liabilities,FV-NI (1),"FV-OCI (2), Note 2: Trading Activities, Note 6: Equity Securities, Note 16: Derivatives, Note 17: Fair Values of Assets and Liabilities"
Equity securities:,Marketable,"FV-NI (1), Note 2: Trading Activities, Note 6: Equity Securities, Note 17: Fair Values of Assets and Liabilities"
Equity securities:,Nonmarketable,"FV-NI (1), Equity method, Proportional amortization method, Cost method, Measurement alternative, Note 6: Equity Securities, Note 17: Fair Values of Assets and Liabilities"
Other assets,Amortized cost (4),"Note 5: Leasing Activity, Note 7: Premises, Equipment, and Other Assets,"
Deposits,Amortized cost,"Note 11: Deposits,"
Short-term borrowings,Amortized cost,"N/A,"
Accrued expenses and other liabilities,Amortized cost (5),"Note 2: Trading Activities, Note 5: Leasing Activity, Note 17: Fair Values of Assets and Liabilities"
Long-term debt,Amortized cost,"Note 12: Long-Term Debt,"
