"Dec 31, 2021","Dec 31, 2020"
Related to trading activities:,
Repledged third-party owned debt and equity securities,"$31,087"
Trading debt securities and other,"14,216"
Equity securities,984
Total pledged assets related to trading activities,"$46,287"
Related to non-trading activities:,
Loans,"288,698"
Debt securities:,
Available-for-sale,"$65,198"
Held-to-maturity,"$13,843"
Other financial assets,"1,600"
Total pledged assets related to non-trading activities,"$369,339"
Related to VIEs:,
Consolidated VIE assets,"$4,781"
Loans eligible for repurchase from GNMA securitizations,"109,179"
Total pledged assets related to VIEs,"$4,890"
Total pledged assets,"$420,516"
