"Year ended December 31,2021",2020,2019
(in millions),Net gains (losses) from equity securities carried at fair value:,
Marketable equity securities,$(202),63
Nonmarketable equity securities,$(188),"1,414"
Total equity securities carried at fair value,$(390),"1,477"
Net gains (losses) from nonmarketable equity securities not carried at fair value (1):,,
Impairment write-downs,$(121),"(1,655)"
Net unrealized gains (2)(3),"4,862","1,651"
Net realized gains on sale (3),"1,581",359
Total nonmarketable equity securities not carried at fair value,"6,322",355
Net gains (losses) from economic hedge derivatives,495,"(1,167)"
Total net gains (losses)from equity securities not held for trading,"6,427",665
