Year ended December 31,    Period end    Average    Low    High
2021    2021    19    38    12    112,
2021    2021    15    25    4    120,
2021    2021    15    30    13    72,
2021    2021    10    7    2    28,
2021    2021    1    1    0    1,
2021    2021    (40)    (52)    (126)    (71),
2021    2021    20    49    97    123,
Year ended December 31,    Period end    Average    Low    High
2020    2020    106    72    15    121,
2020    2020    81    104    5    241,
2020    2020    32    14    4    35,
2020    2020    3    3    1    8,
2020    2020    1    1    1    6,
2020    2020    (126)    (71)    (126)    (71),
2020    2020    123    123    123    123,
