Shares issued and outstanding,Carrying value,Adjustable dividend rate,"Dec 31, 2021","Dec 31, 2020",Minimum,Maximum
"in millions, except shares",,,in millions,in millions,except shares,except shares
ESOP Preferred Stock,ESOP Preferred Stock,ESOP Preferred Stock,ESOP Preferred Stock,ESOP Preferred Stock,ESOP Preferred Stock,ESOP Preferred Stock
"$1,000 liquidation preference per share","$1,000 liquidation preference per share","$1,000 liquidation preference per share","$1,000 liquidation preference per share","$1,000 liquidation preference per share","$1,000 liquidation preference per share","$1,000 liquidation preference per share"
2018,189225,221945,189,222,7.00 %,8.00 %
2017,135135,163210,135,163,7.00,8.00
2016,128380,162450,128,162,9.30,10.30
2015,68106,92904,68,93,8.90,9.90
2014,62420,99151,63,99,8.70,9.70
2013,26168,61948,26,62,8.50,9.50
2012,,20634,,21,10.00,11.00
Total ESOP Preferred Stock (1),609434,822242,609,822,,
Unearned ESOP shares (2),,,(646),(875),,
