,,,,,,,,,Revolving loans converted,Revolving loans converted,Revolving loans converted,Revolving loans converted,
,2020,2019,2018,2017,Term loans by origination year 2016,Prior,Revolving,loans,Revolving loans converted,Revolving loans converted,Revolving loans converted,Revolving loans converted,toterm loans
"(in millions) December 31,2020",,,,,,,,,,,Total,,
Residential mortgage-first lien,,,,,,,,,,,,,
By delinquency status:,,,,,,,,,,,,,
Current-29 DPD,"$ 53,298","43,297",,"14,761","24,619","30,533","67,960","6,762",,"1,719","242,949",,
30-59 DPD,111,,76 10,36,67,79,750,,,66,"1,237",,
60-89 DPD,88,,,6,12,13,305,56,,68,558,,
90-119 DPD,232 3,,,5,8,7,197,26,,33,519,,
120-179 DPD,,,4,1,3,5,151,17 21,,29,213,,
180+ DPD,,,1,4,11,15,758,,,145,958,,
Government insured/guaranteed loans (1),215,,639,904,"1,076","2,367","25,039",,,,"30,240",,
Total residential mortgage-first lien,"53,950","44,038",,"15,717","25,796","33,019","95,160","6,934","2,060",,"276,674",,
Residential mortgage-juniorlien By delinquency status:,,,,,,,,,,,,,
Current-29 DPD,22,,39,39,37,31,"1,115","15,366",,"5,434","22,083",,
30-59 DPD,,,,1,1,,22,113,,160,297,,
60-89 DPD,,,,1,,,11,154,,271,437,,
90-119 DPD,,,,,1,,7,45,,84,137,,
120-179 DPD,,,,,一,,9,36,,77,122,,
180+DPD,,,,,,1,25,29,,155,210,,
Total residential mortgage-junior lien,22,,,41,39,32,"1,189","15,743","6,181",,"23,286",,
Credit cards,,,,,,,,,,,,,
By delinquency status:,,,,,,,,,,,,,
Current-29 DPD,,,,,,,,"35,612 243",,255,"35,867",,
30-59 DPD,,,,,,,,,,12,255,,
60-89 DPD,,,,,,,,167,,10,177,,
90-119 DPD 120-179 DPD,,,,,,,,144,,10,154,,
180+ DPD,,,,,,,,208,,3,211,,
Total credit cards,,,,,,,,"36,374",,290,"36,664",,
Auto,,,,,,,,,,,,,
By delinquency status:,,,,,,,,,,,,,
Current-29 DPD,"19,625","14,561",,"6,307","3,459","2,603",697,,,,"47,252",,
30-59 DPD,120,183,,114,80,107,46,,,,650,,
60-89 DPD,32 13,60 26,,36,25,35,16,,,,204,,
90-119 DPD,,,,14,9,12,6,,,,80 1,,
120-179 DPD 180+DPD,,,,,,,,,,,,,
