,,,,,,,,"Year ended December 31,",
,,,,$Change 2021/,%Change 2021/,,,$Change 2020/,%Change
"($ in millions, unless otherwise noted)",,2021,2020,2020,2020,,2019,2019,2020/ 2019
Home Lending:,,,,,,,,,
Mortgage banking:,,,,,,,,,
Net servicing income,$,35,(160),195,122%,$,454,(614),NM
Net gains on mortgage loan originations/sales,,"4,455","3,384","1,071",32,,"1,860","1,524",82%
Total mortgage banking,,"$4,490","3,224","1,266",39,$,2314,910,39
Originations ($ in billions):,,,,,,,,,
Retail,$,138.5,118.7,19.8,17,$,96.4,22.3,23
Correspondent,,66.5,104.0,(37.5),(36),,107.6,(3.6),(3)
Total originations,,$205.0,222.7,(17.7),(8),$,204.0,18.7,9
% of originations held for sale (HFS),,64.6%,73.9,,,,66.1 %,,
Third-party mortgage loans serviced (period-end) ($in billions) (6),$,716.8,856.7,(139.9),(16),"$1,063.4",,(206.7),(19)
Mortgage servicing rights (MSR)carrying value (period-end),,"6,920","6,125",795,13,,"11,517","(5,392)",(47)
Ratioof MSRcarrying value (period-end) tothird-party mortgage loans serviced (period-end) (6),,0.97 %,0.71,,,,1.08%,,
Home lending loans 30+ days delinquency rate(7)(8)(9),,0.39,0.64,,,,0.64,,
Credit Card:,,,,,,,,,
Point of sale (POS)volume ($ in billions),$,102.5,81.6,20.9,26,$,88.2,(6.6),（7)
New accounts (# in thousands) (10),,"1,640","1,022",,60,,"1,840",,(44)
Credit card loans 3O+ days delinquency rate (9),,1.50 %,2.17,,,,2.63%,,
Auto:,,,,,,,,,
Auto originations ($ in billions),$,33.9,22.8,11.1,49,$,25.4,(2.6),(10)
Auto loans 3O+ days delinquency rate (8)(9),,1.84%,1.77,,,,2.56%,,
Personal Lending:,,,,,,,,,
New funded balances,,"$2,507","1,599",908,57,"$2,829",,"(1,230)",(43)
