,Recorded investment of defaults,Recorded investment of defaults,Recorded investment of defaults
,"Year ended December 31,","Year ended December 31,","Year ended December 31,"
(in millions),2021,2020,2019
Commercial:,,,
Commercial and industrial,132,677,111
Real estate mortgage,34,128,48
Real estate construction,1,1,17
Lease financing,1,1,二
Total commercial,167,806,176
Consumer:,,,
Residential mortgage-first lien,12,34,41
Residential mortgage-junior lien,1,12,13
Credit card,25,72,88
Auto,43,32,12
Other consumer,,5,8
Total consumer,,155 961,162
Total,,,338
