,"December 31,2021","December 31,2021","December 31,2021","December 31,2020","December 31,2020","December 31,2020","December 31,2019","December 31,2019","December 31,2019"
,Pension benefits,Pension benefits,Pension benefits,Pension benefits,Pension benefits,Pension benefits,Pension benefits,Pension benefits,Pension benefits
(in millions),Qualified,Non- qualified,Other benefits,Qualified,Non- qualified,Other benefits,Qualified,Non- qualified,Other benefits
Service cost,17,1,1,14,1,1,11,1,1
Interest cost,296,12,11,325,16,16,419,22,23
Expected return on plan assets,(598),1,(19),(603),1,(21),(567),1,(28)
Amortization of net actuarial loss (gain),140,15,(20),157,14,(19),148,10,(17)
Amortization of prior service credit,1,1,(10),1,1,(10),1,1,(10)
Settlement loss,134,2,二,121,3,1,1,2,二
Net periodic benefit cost,(11),29,(38),14,33,(34),11,34,(32)
Other changes in plan assets and benefit obligations recognized in other comprehensive income:,,,,,,,,,
Net actuarial loss (gain),(142),(18),（40),517,25,(32),38,49,(47)
Amortization of net actuarial gain (loss),(140),(15),20,(157),(14),19,(148),(10),17
Amortization of prior service credit,1,1,10,1,1,10,1,1,10
Settlement,(134),(2),二,(121),(3),二,1,(2),二
Total recognized in other comprehensive income,(416),(35),(10),239,8,(3),(110),37,(20)
Totalrecognized innet periodic benefit cost and other comprehensive income,(427),(6,(48),253,41,(37),（99),71,(52)
