,,2021,2021,2021,2021,2021,2021,
,,Average,Interest,Interest,,Interest,Interest,2020 ntres
,,Average,income/ expense,Interest rates,,Averace,income/ expense,2020 ntres
(in millions) Assets,balance,,,,,,,
Interest-earning deposits with banks,"216,061",,90,0.16 %,"222,010",57,0.10%,
Federalfunds sold and securities purchased under resale agreements,"65,388",,(0.01),,"67,023",8,0.05,
Debt securities:,,,,,,,,
Trading debt securities,"92,597",555,2.39,,"93,877",563,2.40,
Available-for-sale debtsecurities,"178,770",,1.55,,"214,042",955,1.78,
Held-to-maturity debt securities,"264,695","692 1,233",1.86,,"192,697",942,1.95,
Total debt securities,"536,062","2,480",1.85,,"500,616","2,460",1.96,
Loans held for sale (2),"24,149",,2.79,,"29,436",262,3.56,
Loans:,,169,,,,,,
Commercial loans:,,,,,,,,
Commercialand industrial- U.S.,"259,938","1,695",2.59,,"255,112","1,655",2.58,
Commercial and industrial- Non-U.S.,"75,814",375,1.97,,"60,812",328,2.14,
Real estate mortgage,"123,806",824,2.64,,"121,228",855,2.81,
Real estate construction,"20,800",162,3.08,,"22,559",177,3.13,
Lease financing,"15,227",163,4.27,,"16,757",275,6.57,
Total commercial loans,"495,585","3,219",2.58,,"476,468","3,290",2.74,
Consumer loans:,,,,,,,,
Residential mortgage-first lien,"242,515","1,981",3.27,,"287,361","2,240",3.12,
Residential mortgage-junior lien,"17,317",,4.22,,"24,210",253,4.16,
Credit card,"37,041","1,051",11.25,,"36,135","1,072",11.80,
Auto,"55,161",608,4.37,,"48,033",582,4.82,
Other consumer,"27,417",253,3.67,,"27,497",314,4.55,
Total consumer loans,"379,451","4,077",,4.28,"423,236","4,461",4.20,
Total loans (2),"875,036",,"7,296",3.32,"899,704","7,751",3.43,
Equity securities,"35,711",,192,,"25,744",132,2.04,
Other,"11,514",,2,,"7,896",,1,
Total interest-earning assets,"1,763,921",,"10,227",,"$1,752,429","10,670",2.43 %,
Cash and due from banks,"25,111",,1,2.31 %,"22,896",1,,
Goodwill,"25,569",,1,,"26,390",,,
Other,"128,829",,,,"123,298",1,,
Totalnoninterest-earningassets,"179,509",,,,"172,584",,,
Totalassets,"$ 1,943,430",,"10,227",,"1,925,013","10,670",,
Liabilities,,,,,,,,
Deposits: Demand deposits,"451,180",,34,0.03 %,"225,577",32,0.06%,
Savings deposits,"432,180",,26,0.02,"611,674",46,0.03,
Time deposits,"30,932",,21,0.27,"56,308",75,0.53,
Depositsin non-U.S.offices,"24,390",,4,0.05,"32,170",10,0.12,
Totalinterest-bearing deposits,"938,682",,85,0.04,"925,729",163,0.07,
Short-term borrowings:,,,,,,,,
Federalfunds purchased and securities sold under agreements to repurchase,"24,885",,(2),(0.04),"46,069",(1),,
Other short-term borrowings,"12,960",,(11) (0.34),,"11,235",(11),(0.38),
Total short-term borrowings,"37,845",,(13) (0.14),,"57,304",(12),（0.08),
Long-term debt,"161,335",,,,"214,223",956,1.78,
Other liabilities,,,690,,"25,949",88,1.38,
Total interest-bearing liabilities Noninterest-bearing demand deposits,"1,166,107",,97 859,0.29 %,"$1,223,205","1,195",0.39 %,
