,Outstanding balance,Outstanding balance,% of total loans,% of total loans,%of loans 30 days ormore past due,%of loans 30 days ormore past due,Net loancharge-off rate (1),Net loancharge-off rate (1)
,"December 31,","December 31,","December 31,","December 31,","December 31,","December 31,","Year ended December 31,","Year ended December 31,"
($ in millions),,,2020 2021,2020,2021,2020,2021,2020
California (2),"100,933","104,260",11.27 %,11.75,0.95,1.00,(0.01),(0.01)
New York,"30,039","31,028",3.35,3.50,1.34,1.40,0.12,0.01
New Jersey,"10,205","12,073",1.14,1.36,1.95,1.92,0.08,1
Florida,"9,978","10,623",1.11,1.20,1.93,2.56,0.09,1
Washington,"8,636","9,094",0.96,1.02,0.47,0.66,1,(0.01)
Other (3),"69,321","79,356",7.74,8.94,1.48,1.60,0.01,0.01
Total,"229,112","246,434",25.57,27.77,1.23,1.34,0.02,1
Government insured/guaranteed loans (4),"13,158","30,240",1.47,3.41,,,,
Total first lien mortgage portfolio,"$ 242,270","276,674",27.04,31.18,,,,
