"Year ended December 31,",2021,2020,$ Change 2021/2020,% Change 2021/2020
"(in millions, except per share amounts)",,2021,2020,
Income statement,,,,
Net interest income,"$ 35,779","39,956","(4,177)",(10)%
Noninterest income,"42,713","34,308","8,405",24
Total revenue,"78,492","74,264","4,228",6
Net charge-offs,"1,582","3,370","(1,788)",(53)
Change in the allowance for credit losses,"(5,737)","10,759","(16,496)",NM
Provision for credit losses,"(4,155)","14,129","(18,284)",NM
Noninterest expense,"53,831","57,630","(3,799)",(7)
Net income before noncontrolling interests,"23,238","3,662","19,576",535
Less: Net income from noncontrolling interests,"1,690",285,"1,405",493
Wells Fargo net income,"21,548","3,377","18,171",538
Earnings per common share,4.99,0.43,4.56,NM
Diluted earnings per common share,4.95,0.43,4.52,NM
Dividends declared per common share,0.60,1.22,(0.62),(51)
Balance sheet (at year end),,,,
Debt securities,"537,531","501,207","36,324",7
Loans,"895,394","887,637","7,757",1
Allowance for loan losses,"12,490","18,516","(6,026)",(33)
Equity securities,"72,886","60,008","12,878",21
Assets,"1,948,068","1,952,911","(4,843)",—
Deposits,"1,482,479","1,404,381","78,098",6
Long-term debt,"160,689","212,950","(52,261)",(25)
Common stockholders' equity,"168,331","164,570","3,761",2
Wells Fargo stockholders' equity,"187,606","184,680","2,926",2
Total equity,"190,110","185,712","4,398",2
