Dec 31, 2021,Dec 31, 2020
Held for trading at fair value:,,,
Marketable equity securities (1),"27,476","23,032",
Not held for trading:,,,
Fair value:,,,
Marketable equity securities,"2,578","1,564",
Nonmarketable equity securities (2),"9,044","9,413",
Total equity securities at fair value,"11,622","10,977",
Equity method:,,,
Private equity,"3,077","2,960",
Tax-advantaged renewable energy,"4,740","3,481",
New market tax credit and other,379,409,
Total equity method,"8,196","6,850",
Other methods:,,,
Low-income housing tax credit investments,"12,314","11,353",
Private equity (3),"9,694","4,208",
Federal Reserve Bank stock and other at cost (4),"3,584","3,588",
Total equity securities not held for trading,"45,410","36,976",
Total equity securities,"72,886","60,008",
