Year ended       Balance, beginning of period    Inflows (1)    Outflows (2)    Market impact (3)    Sale of WFAM on November 1, 2021    Balance, end of period
(in billions)                                                                                                                    ,,,
December 31, 2021                                                                                                                  ,,
Money market funds (4)                                                                                                             $197.4                                                                                                                    ,,,
Other assets managed                                                                                                               405.6                                                                                                                    ,,,
Total WFAM assets under management                                                                                                 $603.0                                                                                                                    ,,,
December 31, 2020                                                                                                                  ,,
Money market funds (4)                                                                                                             $130.6                                                                                                                    ,,,
Other assets managed                                                                                                               378.2                                                                                                                    ,,,
Total WFAM assets under management                                                                                                 $508.8                                                                                                                    ,,,
December 31, 2019                                                                                                                  ,,
Money market funds (4)                                                                                                             $112.4                                                                                                                    ,,,
Other assets managed                                                                                                               353.5                                                                                                                    ,,,
Total WFAM assets under management                                                                                                 $465.9,,,
