"(in millions,except shares)","Dec31, 2021","Dec31, 2020"
Assets,,
Cash and due from banks,"24,616","28,236"
Interest-earning deposits with banks,"209,614","236,376"
"Total cash,cash equivalents,and restricted cash","234,230","264,612"
Federal funds sold and securities purchased under resale agreements,"66,223","65,672"
Debt securities:,,
"Trading,at fair value","88,265","75,095"
"Available-for-sale,atfairvalue (includesamortizedcostof$175,463and$215,533,netofallowanceforcreditlosses)","177,244","220,392"
"Held-to-maturity,atamortized cost,netof allowance forcredit losses (fair value $272,386and $212,307)","272,022","205,720"
"Loans held for sale (includes $15,895 and $18,8O6 carried at fair value)","23,617","36,384"
Loans,"895,394","887,637"
Allowance for loan losses,"(12,490)","(18,516)"
Net loans,"882,904","869,121"
"Mortgage servicing rights (includes $6,92O and $6,125 carried at fair value)","8,189","7,437"
"Premises and equipment, net","8,571","8,895"
Goodwill,"25,180","26,392"
Derivative assets,"21,478","25,846"
"Equity securities (includes $39,o98 and $34,Oo9 caried at fair value)","72,886","60,008"
Other assets,"67,259","87,337"
Total assets (1),"1,948,068","1,952,911"
Liabilities,,
Noninterest-bearing deposits,"527,748","467,068"
Interest-bearing deposits,"954,731","937,313"
Total deposits,"1,482,479","1,404,381"
Short-term borrowings,"34,409","58,999"
Derivative liabilities,"9,424","16,509"
"Accrued expenses and other liabilities (includes $2o,685 and $22,44l carried at fair value)","70,957",
Long-term debt,"160,689","74,360 212,950"
Total liabilities (2),"1,757,958","1,767,199"
Equity,,
Wells Fargo stockholders'equity:,,
Preferred stock,"20,057","21,136"
"Common stock-$1-2/3 par value,authorized 9,000,0o0,000 shares; issued 5,48l,81l,474 shares","9,136","9,136"
Additional paid-in capital,"60,196","60,197"
Retained earnings,"180,322","162,683"
Cumulative other comprehensive income (loss),"(1,702)",194
"Treasury stock-1,596,009,977 shares and 1,337,799,931 shares","(79,757)","(67,791)"
Unearned ESOP shares,(646),(875)
Total Wells Fargo stockholders'equity,"187,606","184,680"
Noncontrolling interests,"2,504","1,032"
Totalequity,"190,110","185,712"
Total liabilitiesand equity,"1,948,068","1,952,911"
