"Dec 31, 2021","Dec 31, 2020"
Commercial:Commercial and industrial,"$ 350,436"
Commercial:Real estate mortgage,"127,733"
Commercial:Real estate construction,"20,092"
Commercial:Lease financing,"14,859"
Commercial:Total commercial,"513,120"
Consumer:Residential mortgage – first lien,"242,270"
Consumer:Residential mortgage – junior lien,"16,618"
Consumer:Credit card,"38,453"
Consumer:Auto,"56,659"
Consumer:Other consumer,"28,274"
Consumer:Total consumer,"382,274"
Total loans,"$ 895,394"
