Balance sheet caption,Measurement model(s),Financial statement Note reference
Cash and due from banks,Amortized cost,Note 28:Regulatory Capital Requirements and Other Restrictions
Interest-earning deposits with banks,Amortized cost,Note 28:Regulatory Capital Requirements and Other Restrictions
Federal funds sold and securities purchased under resale Amortized cost agreements,,N/A
Debt securities:,Debt securities:,Debt securities:
Trading,FV-NI (1),Note 2:Trading Activities Note17:Fair Values of Assets and Liabilities
Available-for-sale,FV-OCI (2),Note 3:Available-for-Sale and Held-to-Maturity Debt Securities
Held-to-maturity,Amortized cost,Note l7:Fair Values of Assets and Liabilities Note 3:Available-for-Sale and Held-to-Maturity Debt Securities
Loans held for sale,FV-NI (1) LOCOM (3),Note2:Trading Activities Notel7: Fair Values of Assets and Liabilities
Loans,Amortized cost,Note 4: Loans and Related Allowance for Credit Losses
Derivative assets and liabilities,FV-NI(1) FV-OCI (2),Note2:Trading Activities Note 6:Equity Securities Note 16:Derivatives
Equity securities:,Equity securities:,Equity securities:
Marketable,FV-NI (1),Note 2:Trading Activities Note 6:Equity Securities Note l7:Fair Values of Assets and Liabilities
Nonmarketable,FV-NI (1) Equity method Proportional amortization method Cost method Measurementalternative,Note 6: Equity Securities Notel7:Fair Values of Assets and Liabilities
Other assets,Amortized cost (4),"Note 5:Leasing Activity Note 7: Premises, Equipment,and Other Assets"
Deposits,Amortized cost,Note ll: Deposits
Short-term borrowings Accrued expenses and other liabilities,Amortized cost,N/A Note 2:Trading Activities
,Amortized cost (5),Note5:Leasing Activity Notel7:Fair Values of Assets and Liabilities
Long-term debt,Amortized cost,Note l2: Long-Term Debt
