(in millions),Debt securities,Fair value hedges (1),Cash flow hedges (2),Defined benefit plans adjustments,Foreign currency translation adjustments,Cumulative other comprehensive income (loss)
"Balance, December 31, 2018",$,"(3,122)",(178),(507),"(2,296)","(233),(6,336)"
Transition adjustment (3),481,—,—,—,—,"—,481"
"Balance, January 1, 2019","(2,641)",(178),(507),"(2,296)",(233),"(5,855)"
Net unrealized gains (losses) arising during the period,"4,102",(2),(16),(30),71,"4,125"
Amounts reclassified from accumulated other comprehensive income,91,—,225,103,—,419
Net change,"4,193",(2),209,73,71,"4,544"
Less: Other comprehensive income from noncontrolling interests,—,—,—,—,—,—
"Balance, December 31, 2019","1,552",(180),(298),"(2,223)",(162),"(1,311)"
Net unrealized gains (losses) arising during the period,"1,747",(24),8,(384),50,"1,397"
Amounts reclassified from accumulated other comprehensive income,(260),—,165,203,—,108
Net change,"1,487",(24),173,(181),50,"1,505"
Less: Other comprehensive income from noncontrolling interests,—,—,—,—,—,—
"Balance, December 31, 2020","3,039",(204),(125),"(2,404)",(112),194
Net unrealized gains (losses) arising during the period,"(2,311)",61,(9),150,(29),"(2,138)"
Amounts reclassified from accumulated other comprehensive income,(64),—,107,199,(1),241
Net change,"(2,375)",61,98,349,(30),"(1,897)"
Less: Other comprehensive loss from noncontrolling interests,(1),—,—,—,—,(1)
"Balance, December 31, 2021",$,665,(143),(27),"(2,055)","(142),(1,702)"
