,,,Within,After one year .through,After five years through,After
By remaining contractual maturity($ in millions),,Total,oneyear,fiveyears,ten years,ten years
"December 31,2021",,,,,,
Available-for-sale debt securities (l):,,,,,,
Securities of U.S.Treasury and federal agencies,,,,,,
"Amortized cost, net",$,"39,668",,"18,787","18,874","2,007"
Fair value,,"39,661",,"18,739","18,768","2,154"
Weighted average yield,,0.79%,,0.34,1.16,1.44
Non-U.S.government securities,,,,,,
"Amortized cost, net",$,71,3,68,1,一
Fair value,,71,3,68,,
Weighted average yield,,0.33%,1.49,0.28,,
Securities of U.S.states and political subdivisions,,,,,,
"Amortized cost, net",$,"16,618",696,"2,115","5,719","8,088"
Fair value,,"16,917",697,"2,135","5,713","8,372"
Weighted average yield,,1.92%,1.22,1.10,1.38,2.58
Federal agency mortgage-backed securities,,,,,,
"Amortized cost, net",$,"104,661",1,219,"2,665","101,776"
Fair value,,"105,886",1,228,"2,742","102,915"
Weighted average yield,,2.53%,2.40,3.17,2.30,2.53
Non-agency mortgage-backed securities,,,,,,
"Amortized cost, net",$,"4,515",,一,143,"4,372"
Fair value,,"4,532",,,142,"4,390"
Weighted average yield,,1.93%,,1,2.32,1.92
Collateralized loan obligations,,,,,,
"Amortized cost, net",$,"5,713",,23,"5,212",478
Fair value,,"5,708",,23,"5,207",478
Weighted average yield,,1.42%,,2.22,1.41,1.45
Other debt securities,,,,,,
"Amortized cost, net",$,"4,217",98,419,"1,063","2,637"
Fair value,,"4,469",97,419,"1,065","2,888"
Weighted average yield,,1.61%,1.56,1.27,1.46,1.72
Total available-for-sale debt securities,,,,,,
"Amortized cost, net",$,"175,463",798,"21,631","33,676","119,358"
Fair value,,"177,244",798,"21,612","33,637","121,197"
Weighted average yield,,2.00%,1.26,0.46,1.34,2.47
