,,,,,,,,"Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,"
,,,,2021,,,,,,,,2020,,
(in millions),Period end,,Average,Low,High,,Period end,,Average,,Low,High,,
Company Trading General VaR Risk Categories,,,,,,,,,,,,,,
Credit,$,19,38,12,,112,106,,72,,15,121,,
Interest rate,,15,25,,4,120,81,,104,,5,241,,
Equity,,15,30,,13,72,32,,14,,4,35,,
Commodity,,10,7,,2,28,,3,3,,1,8,,
Foreign exchange,,1,1,,0,1,,1,1,,1,6,,
Diversification benefit (1),,（40),(52),,,,(126),,(71),,,,,
Company Trading General VaR,,20,49,,,,97,,123,,,,,
