"($ in millions, except cost to service amounts)","Dec31, 2021","Dec31, 2020"
Fair value of interests held,"$ 6,920","6,125"
Expected weighted-average life (in years),4.7,3.7
Key economic assumptions:,,
Prepayment rate assumption (1),14.7 %,19.9
Impacton fair value from lO% adverse change,$,434
Impact on fair value from 25% adverse change,,"1,002"
Discount rate assumption,,5.8
Impact on fair value from lOo basis point increase,$,229
Impact on fair value from 2Oo basis point increase,529,440
Cost to service assumption ($ per loan),106,130
Impacton fair value from lO% adverse change,165,181
Impact on fair value from 25%adverse change,411,454
