,"December31,2021","December31,2021","December31,2020","December31,2020"
(in millions),Derivative Assets,Derivative Liabilities,Derivative Assets,Derivative Liabilities
Interest rate contracts,,,,
Over-the-counter (OTC),"20,067","16,654","30,958","24,048"
OTC cleared,168,192,"1,156","1,099"
Exchange traded,52,28,11,27
Total interest rate contracts,"20,287","16,874","32,125","25,174"
Commodity contracts,,,,
OTC,"5,040","1,249","1,498","1,009"
Exchange traded,557,"1,047",287,452
Total commodity contracts,"5,597","2,296","1,785","1,461"
Equity contracts,,,,
OTC,"6,132","9,730","7,747","11,068"
Exchange traded,"7,493","6,086","4,759","4,733"
Total equity contracts,"13,625","15,816","12,506","15,801"
Foreign exchange contracts,,,,
OTC,"6,335","6,221","8,088","7,603"
Total foreign exchange contracts,"6,335","6,221","8,088","7,603"
Credit contracts,,,,
OTC,32,31,55,43
Total credit contracts,32,31,55,43
"Total derivatives subject to enforceable master netting arrangements, gross","45,876","41,238","54,559","50,082"
Less: Gross amounts offset,,,,
Counterparty netting (1),"(27,172)","(27,046)","(34,304)","(34,106)"
Cash collateral netting,"(4,258)","(9,486)","(5,532)","(7,450)"
"Totalderivatives subject toenforceable master netting arrangements, net","14,446","4,706","14,723","8,526"
Derivatives not subject to enforceable master netting arrangements,"7,032","4,718","11,123","7,983"
"Total derivatives recognized inconsolidated balance sheet, net","21,478","9,424","25,846","16,509"
Non-cash collateral not offset,"(1,432)",(412),"(2,157)","(3,588)"
"Total Derivatives, net (2)","20,046","9,012","23,689","12,921"
