($ in millions),Available-for-Sale,Held-to-Maturity
Fair value,% investment grade,"Amortized cost,% investment grade"
"December 31, 2021",Total portfolio (1),"$,177,244,99%,272,118,99%"
Breakdown by category:,Securities of U.S. Treasury and federal agencies (2),"$,145,547,100%,205,453,100%"
Securities of U.S. states and political subdivisions,"16,917","99,32,704,100"
Collateralized loan obligations (3),"5,708","100,31,128,100"
All other debt securities (4),"9,072","88,2,833,64"
"December 31, 2020",Total portfolio (1),"$,220,392,99%,205,761,99%"
Breakdown by category:,Securities of U.S. Treasury and federal agencies (2),"$,161,229,100%,162,732,100%"
Securities of U.S. states and political subdivisions,"19,406","99,25,870,100"
Collateralized loan obligations (3),"9,018","100,16,255,100"
All other debt securities (4),"30,739","93,904,6"
