By_remaining_contractual_maturity_(\$_in_millions),Total,Within_one_year,After_one_year_through_five_years,After_five_years_through_ten_years,After_ten_years
December_31,_2021,Held-to-maturity_debt_securities_(1):,,,",,"
Securities_of_U.S._Treasury_and_federal_agencies,Amortized_cost,_net,350,"12,410",","
Fair_value,"16,825",350,"12,889",,
Weighted_average_yield,2.17%,1.55,2.37,1.57,
Securities_of_U.S._states_and_political_subdivisions,Amortized_cost,_net,"1,338","3,243","2,126,25,982"
Fair_value,"33,475","1,350","3,307","2,191","26,627"
Weighted_average_yield,2.10%,2.34,1.31,2.59,2.15
Federal_agency_mortgage-backed_securities,Amortized_cost,_net,,,",188,909"
Fair_value,,,,"187,984",
Weighted_average_yield,2.15%,,,2.15,
Non-agency_mortgage-backed_securities,Amortized_cost,_net,15,13,"29,1,025"
Fair_value,"1,095",15,13,30,"1,037"
Weighted_average_yield,2.99%,1.55,2.90,3.16,3.00
Collateralized_loan_obligations,Amortized_cost,_net,,,",13,019,18,048"
Fair_value,,,,"13,153","18,106"
Weighted_average_yield,1.53%,,,1.60,1.48
Other_debt_securities,Amortized_cost,_net,,,"764,967,"
Fair_value,"1,748",,767,981,
Weighted_average_yield,4.51%,,4.13,4.81,
Total_held-to-maturity_debt_securities,Amortized_cost,_net,"1,703","16,430","16,141,237,748"
Fair_value,"272,386","1,715","16,976","16,355","237,340"
Weighted_average_yield,2.09%,2.17,2.24,1.92,2.09
