(in billions),"Dec31, 2021","Dec31, 2020"
Residential mortgage servicing:,,
Serviced and subserviced for others,718 276,859
Owned loans serviced,,323
Total residential servicing,994,"1,182"
Commercial mortgage servicing:,,
Serviced and subserviced for others,597,583
Owned loans serviced,130,123
Total commercial servicing,727,706
Total managed servicing portfolio,"$1,721","1,888"
"Total serviced for others,excluding subserviced for others","$1,304","1,431"
MSRs as a percentage of loans serviced for others,0.63 %,0.52
Weighted average note rate (mortgage loans serviced for others),3.82,4.03
