(in millions),De1,"Dec31, 2020"
Trading assets:,,
Debt securities,"88,265","75,095"
Equity securities,"27,476","23,032"
Loans held for sale,"3,242","1,015"
Gross trading derivative assets,"48,325","58,767"
Netting (1),"(28,146)","(34,301)"
Total trading derivative assets,"20,179","24,466"
Total trading assets,"139,162","123,608"
Trading liabilities:,,
Short sale,"20,685","22,441"
Gross trading derivative liabilities,"42,449","53,285"
Netting (1),"(33,978)","(39,444)"
Total trading derivative liabilities,,"13,841"
Total trading liabilities,$,"36,282"
