,,,Carrying value-asset (liability),Carrying value-asset (liability),Carrying value-asset (liability),Carrying value-asset (liability),Carrying value-asset (liability)
(in millions),VIE assets,Total,Loans,Debt securities (1),All other assets (2),Long-term debt,All other liabilities (3)
"December 31,2021",,,,,,,
Commercial and industrial loans and leases,$,"7,013","4,099",,231,,(188)
Commercial real estate loans (4),,1,1,一,1,1,1
Other,,516,377,71,3,(149),(71)
Total consolidated VIEs,$,"7,529","4,476",71,234,(149),(259)
"December 31,2020",,,,,,,
Commercial and industrial loans and leases,$,"6,987","5,005",,223,/,(200)
Commercial real estate loans (4),,"5,369","5,357",,12,,1
Other,,"1,627",507,967,75,(203),(900)
Total consolidated VIEs,$,"13,983","10,869",967,310,(203),"(1,100)"
