(in millions),2021,,,,Term loans by origination year,Term loans by origination year,Revolving,loans converted to term,
"December 31,2021",,2020,2019,2018,2017,Prior,loans,loans,Total
Residential mortgage-first lien,,,,,,,,,
By delinquency status:,,,,,,,,,
Current-29 DPD,"$69,994","41,527","24,887","7,660","13,734","61,576","5,248","1,673","226,299"
30-59 DPD,129,27,30,12,24,418,14,29,683
60-89 DPD,10,7,2,1,3,126,7,15,170
90-119 DPD,1,1,1,1,5,53,4,9,74
120-179 DPD,1,16,2,2,1,63,4,14,103
180+ DPD,1,62,72,71,92,"1,294",36,156,"1,783"
Government insured/guaranteed loans(1),14,134,209,349,364,"12,088",一,,"13,158"
Total residential mortgage-first lien,"70,148","41,774","25,203","8,095","14,223","75,618","5,313","1,896","242,270"
Residentialmortgage-junior lien,,,,,,,,,
By delinquency status: Current-29 DPD,28,20,30,26,21,700,"10,883","4,426","16,134"
,,,一,1,1,10,29,46,86
30-59 DPD,,,,一,1,4,10,21,35
60-89 DPD 90-119 DPD,,,,1,1,3,4,12,20
120-179 DPD,,,,,一,5,7,14,
180+ DPD,,,1,一,1,40,59,,26
Totalresidential mortgage-junior,,,,,,,,217,317
lien Credit cards,28,20,31,27,22,762,"10,992","4,736","16,618"
By delinquency status:,,,,,,,,,
Current-29 DPD,,,,,,,"37,686",192,"37,878"
30-59 DPD,,,,,,,176,7,183
60-89 DPD,,,,,,,118,5,123
90-119 DPD,,,,,,,98,5,103
120-179 DPD,,,,,,,165,1,166
180+ DPD,,,,,,,1,一,二
Total credit cards,,,,,,,"38,243",210,"38,453"
Auto,,,,,,,,,
By delinquency status: Current-29 DPD,"29,246","12,412","8,476","3,271","1,424",714,,,"55,543"
30-59 DPD,220,193,165,81,46,57,,,762
60-89 DPD,69,67,53,25,14,21,,,249
90-119 DPD,31,27,22,9,6,8,,,103
120-179 DPD,1,1,1,1,1,一,,,2
180+ DPD,一,,,,一,一,,,
Totalauto,"29,566","12,700","8,717","3,386","1,490",800,一,一,"56,659"
Other consumer,,,,,,,,,
By delinquency status:,,,,,,,,,
Current-29 DPD,"2,221 3",716,703,203,107,125,"23,988",143 4,"28,206 25"
30-59 DPD 60-89 DPD,,2 1,3 2,1 1,1,2 1,10 5,,
