(in millions),"Balance, beginning",Net gains/,,,,Transfers,Transfers outof,Bee,gains (losses) relatedto assetsand
,of period,(losses) (1),Purchases (2),Sales,Settlements,into Level3 (3),Level3(4),period,liabilities held at period end (5)
"Year ended December 31,2021",,,,,,,,,
Trading debt securities,173,7,518,(448),(12),34,(31),241,(8)(6)
Available-for-sale debt securities,"2,994",21,809,(112),(278),353,"(3,601)",186,(4)(6)
Loans held for sale,"1,234",(25),477,(534),(377),394,(136),"1,033",(26) (7)
Mortgage servicing rights (residential) (8),"6,125",(842),"1,645",(8),1,1,1,"6,920","1,170(7)"
Net derivative assets and liabilities:,,,,,,,,,
Interest rate contracts,446,27,1,1,(340),（5),(1),127,（75)
Equity contracts,(314),(468),1,1,379,(228),202,(429),(266)
Other derivative contracts,39,(114),3,(3),77,1,3,5,(36)
Total derivative contracts,171,(555),3,(3),116,(233),204,(297),(377)（9)
Equity securities,"9,233",(267),1,(68),一,11,一,"8,910",(316) (6)
"Yearended December 31,2020",,,,,,,,,
Trading debt securities,223,(53),600,（589),(12),115,(111),173,(36) (6)
Available-for-sale debt securities,"1,565",(34),43,(68),(263),"2,255",(504),"2,994",1 (6)
Loans held for sale,"1,214",(96),"1,312",(586),(323),"1,927","(2,214)","1,234",(38) (7)
Mortgage servicing rights (residential) (8),"11,517","(7,068)","1,707",(32),1,1,1,"6,125","(4,693) (7)"
Net derivative assets and liabilities:,,,,,,,,,
Interest rate contracts,214,"2,074",一,一,"(1,842)",1,1,446,334
Equity contracts,(269),(316),1,1,298,(22),(5),(314),(19)
Other derivative contracts,(5),(63),8,3,73,22,1,39,11
Totalderivative contracts,(60),"1,695",8,3,"(1,471)",二,（4),171,326（9)
Equity securities,"7,850","1,369",2,一,,23,(11),"9,233","1,370(6)"
"Year ended December 31,2019",,,,,,,,,
Trading debt securities,290,(31),391,(385),(34),1,(9),223,(31) (6)
Available-for-sale debt securities,"2,044",(6),475,(9),(743),6,(202),"1,565",(4)(6)
Loans held for sale,"1,057",56,356,(237),(263),354,(109),"1,214",51 (7)
Mortgage servicing rights (residential) (8),"14,649","(4,779)","1,933",(286),1,1,1,"11,517","(2,569) (7)"
Net derivative assets and liabilities:,,,,,,,,,
Interest rate contracts,25,585,一,一,(396),1,1,214,249
Equity contracts,(17),(571),1,1,292,6 2,21 23,(269),(186)
Other derivative contracts Total derivative contracts,13,(176),13,(12),132,,,(5),12
,21,(162),13,(12),28,8,44,(60),75（9)
Equity securities,"5,468","2,383",1,(1),1,12,(12),"7,850","2,386(6)"
