Year ended,Balance,beginning of period,Inflows (1),Outflows (2),Market impact (3),Balance,end of period
December 31, 2021,Client-directed (4),186.3,41.5,-45.0,22.8,205.6
,Financial advisor-directed (5),211.0,48.7,-41.1,36.9,255.5,
,Separate accounts (6),174.6,31.8,-30.7,27.6,203.3,
,Mutual fund advisory (7),91.4,15.6,-15.0,10.1,102.1,
,Total Wells Fargo Advisors,663.3,137.6,-131.8,97.4,766.5,
,The Private Bank (8),189.4,40.0,-51.1,19.7,198.0,
,Total WIM advisory assets,852.7,177.6,-182.9,117.1,964.5,
December 31, 2020,Client directed (4),169.4,36.4,-38.2,18.7,186.3
,Financial advisor directed (5),176.3,40.6,-33.6,27.7,211.0,
,Separate accounts (6),160.1,24.6,-27.4,17.3,174.6,
,Mutual fund advisory (7),83.7,11.3,-13.9,10.3,91.4,
,Total Wells Fargo Advisors,589.5,112.9,-113.1,74.0,663.3,
,The Private Bank (8),188.0,34.0,-45.8,13.2,189.4,
,Total WIM advisory assets,777.5,146.9,-158.9,87.2,852.7,
December 31, 2019,Client directed (4),151.5,33.5,-41.8,26.2,169.4
,Financial advisor directed (5),141.9,33.9,-34.7,35.2,176.3,
,Separate accounts (6),136.4,24.2,-29.7,29.2,160.1,
,Mutual fund advisory (7),71.3,11.8,-14.1,14.7,83.7,
,Total Wells Fargo Advisors,501.1,103.4,-120.3,105.3,589.5,
,Total Private Bank (8),173.0,34.5,-43.8,24.3,188.0,
,Total WIM advisory assets,674.1,137.9,-164.1,129.6,777.5,
