,2021vs.2020,2021vs.2020,2021vs.2020,2021vs.2020,"Year ended December 31, 2020vs.2019","Year ended December 31, 2020vs.2019","Year ended December 31, 2020vs.2019"
,,Rate,Rate,Rate,,,
(in millions),Volume,,,Total,Volume,Rate,Total
Increase (decrease) in interest income:,,,,,,,
Interest-earning deposits with banks,$,119,(352),(233),797,"(3,125)",(2.328)
Federal funds sold and securities purchased under resale agreements,,（53),(326),(379),(309),"(1,462)","(1,771)"
Debt securities:,,,,,,,
Trading debt securities,(165),,(272),(437),35,(640),(605)
Available-for-sale debt securities,(813),,"(1,511)","(2,324)",(991),"(2,254)","(3,245)"
Held-to-maturity debt securities,"1,405",,(657),748,584,(557),27
Total debt securities,427,,"(2,440)","(2,013)",(372),"(3,451)","(3,823)"
Loans held for sale,,2,(84),(82),219,(164),55
Loans:,,,,,,,
Commercial loans:,,,,,,,
Commercial and industrial - U.S.,（775),,(611),"(1,386)",(160),"(4,035)","(4,195)"
Commercial and industrial- Non-U.S.,99,,(324),(225),94,(806),(712)
Real estate mortgage,(26),,(540),(566),29,"(1,543)","(1,514)"
Real estate construction,(1),,(92),(93),22,(357),(335)
Lease financing,(106),,（79),(185),(74),(6),(80)
Total commercial loans,(809),,"(1,646)","(2,455)",(89),"(6,747)","(6,836)"
Consumer loans:,,,,,,,
Residential mortgage-first lien,"(1,232)",,(526),"(1,758)",2,"(1,315)","(1,313)"
Residential mortgage-juniorlien,(294),,（73),(367),(270),(345),(615)
Credit card,(188) 153,,(41),(229),(216),(358),(574)
Auto,(281),,(215),(62),125,(108),17
Other consumer,,,(476),（757),(198),(495),(693)
Total consumer loans,"(1,842)",,"(1,331)","(3,173)",（557),"(2,621)","(3,178)"
Total loans,"(2,651)",,"(2,977)","（5,628)",(646),"（9,368)","(10,014)"
Equity securities Other,,54,(3),51,(165),(244),（409)
,,4,(12),（8),23,（99),(76)
Total increase (decrease) in interest income,"(2,098)",,"(6,194)","(8,292)",(453),"(17,913)","(18,366)"
Increase (decrease) in interest expense: Deposits:,,,,,,,
Demand deposits,$ 208,,(265),(57),324,（929),(605)
Savings deposits,(461),,(907),"(1,368)",217,(2.857),"(2,640)"
Time deposits,(340),,(430),(770),（748),"(1,136)","(1,884)"
Deposits in non-U.S.offices,(52),,(169),(221),(202),(500),
Totalinterest-bearing deposits,(645),,,,,,(702)
Short-term borrowings:,,,"(1,771)","(2,416)",(409),"(5,422)","(5,831)"
Federal funds purchased and securities sold under agreements to repurchase,（80）,,,(268),,,
,(2),,(188),(23),(671) (14),"(1,222)","(1,893)"
Other short-term borrowings Total short-term borrowings,(82),,(21),(291),,(159),(173)
,(855),,(209),,(685),"(1,381)","(2,066)"
Long-term debt Other liabilities,,,(443),"(1,298)",(242),"(2,637)","(2,879)"
,,6,（49),（43),52,(165),(113)
Total increase (decrease) in interest expense,"(1,576)",,"(2,472)","(4,048)","(1,284)","（9,605)","(10,889)"
Increase (decrease) in net interest income on a taxable-equivalent basis,(522),,"(3,722)","（4,244)",831,"(8,308)","(7,477)"
