Balance at period end,Quarter ended,Average balance,Year ended,"(in millions, except ratios)"
"Dec 31, 2021","Dec 31, 2020","Dec 31, 2019","Dec 31, 2021","Dec 31, 2020,Dec 31, 2019"
Total equity,"$ 190,110","185,712","187,702","191,219,184,689,197,174"
Adjustments:,Preferred stock,"(20,057)","(21,136)","(21,549),(21,151),(21,364),(22,522)"
,Additional paid-in capital on preferred stock,136,152,"(71),137,148,(81)"
,Unearned ESOP shares,646,875,"1,143,874,1,007,1,306"
,Noncontrolling interests,"(2,504)","(1,033)","(838),(1,601),(769),(962)"
,Total common stockholders' equity,(A),"168,331","164,570,166,387,169,478,163,711,174,915"
Adjustments:,Goodwill,"(25,180)","(26,392)","(26,390),(26,087),(26,387),(26,409)"
,Certain identifiable intangible assets (other than MSRs),(225),(342),"(437),(294),(389),(493)"
,Goodwill and other intangibles on nonmarketable equity securities (included in other assets),"(2,437)","(1,965)","(2,146),(2,226),(2,002),(2,174)"
,Applicable deferred taxes related to goodwill and other intangible assets (1),765,856,"810,867,834,792"
Tangible common equity,(B),"$ 141,254","136,727","138,224,141,738,135,767,146,631"
Common shares outstanding,(C),"3,885.8","4,144.0","4,134.4,N/A,N/A,N/A"
Net income applicable to common stock,(D),N/A,N/A,"N/A,$ 20,256,1,786,18,103"
Book value per common share,(A)/(C),$ 43.32,39.71,"40.24,N/A,N/A,N/A"
Tangible book value per common share,(B)/(C),36.35,32.99,"33.43,N/A,N/A,N/A"
Return on average common stockholders' equity (ROE),(D)/(A),N/A,N/A,"N/A,11.95 %,1.09,10.35"
Return on average tangible common equity (ROTCE),(D)/(B),N/A,N/A,"N/A,14.29,1.32,12.35"
